# Energy(MeV) Fluence_Sferica_Median
3.158337e+02 7.825061e+04
3.198593e+02 7.511024e+04
3.239362e+02 7.211540e+04
3.280650e+02 6.920962e+04
3.322464e+02 6.636996e+04
3.364812e+02 6.365876e+04
3.407699e+02 6.106496e+04
3.451133e+02 5.859484e+04
3.495121e+02 5.621288e+04
3.539669e+02 5.395902e+04
3.584785e+02 5.178358e+04
3.630476e+02 4.968824e+04
3.676749e+02 4.767491e+04
3.723612e+02 4.574899e+04
3.771073e+02 4.388897e+04
3.819138e+02 4.210478e+04
3.867816e+02 4.039544e+04
3.917114e+02 3.876407e+04
3.967041e+02 3.720282e+04
4.017604e+02 3.570022e+04
4.068812e+02 3.425667e+04
4.120672e+02 3.287095e+04
4.173194e+02 3.153818e+04
4.226384e+02 3.026959e+04
4.280253e+02 2.905204e+04
4.334808e+02 2.787669e+04
4.390059e+02 2.675316e+04
4.446014e+02 2.566971e+04
4.502682e+02 2.462434e+04
4.560072e+02 2.362013e+04
4.618194e+02 2.266347e+04
4.677057e+02 2.174212e+04
4.736670e+02 2.085036e+04
4.797042e+02 1.999699e+04
4.858185e+02 1.918202e+04
4.920106e+02 1.840189e+04
4.982817e+02 1.765439e+04
5.046327e+02 1.694051e+04
5.110646e+02 1.625562e+04
5.175786e+02 1.559302e+04
5.241755e+02 1.495315e+04
5.308566e+02 1.434480e+04
5.376228e+02 1.376105e+04
5.444752e+02 1.320150e+04
5.514150e+02 1.266560e+04
5.584432e+02 1.215466e+04
5.655610e+02 1.166538e+04
5.727696e+02 1.119275e+04
5.800700e+02 1.073522e+04
5.874635e+02 1.029903e+04
5.949511e+02 9.885253e+03
6.025343e+02 9.487154e+03
6.102141e+02 9.102870e+03
6.179917e+02 8.734152e+03
6.258686e+02 8.380197e+03
6.338458e+02 8.040448e+03
6.419246e+02 7.714901e+03
6.501065e+02 7.403158e+03
6.583926e+02 7.103919e+03
6.667844e+02 6.817503e+03
6.752831e+02 6.542473e+03
6.838901e+02 6.278794e+03
6.926068e+02 6.023601e+03
7.014347e+02 5.779165e+03
7.103750e+02 5.544518e+03
7.194293e+02 5.319641e+03
7.285991e+02 5.103885e+03
