# Energy(MeV) Fluence_Planare_Median(p/cm2)
8.768856e+01 1.337417e+05
8.829700e+01 1.317054e+05
8.890966e+01 1.296355e+05
8.952657e+01 1.275971e+05
9.014776e+01 1.256423e+05
9.077327e+01 1.236958e+05
9.140311e+01 1.217593e+05
9.203732e+01 1.198823e+05
9.267593e+01 1.180185e+05
9.331898e+01 1.161502e+05
9.396648e+01 1.143122e+05
9.461848e+01 1.125168e+05
9.527500e+01 1.107337e+05
9.593608e+01 1.089617e+05
9.660175e+01 1.072094e+05
9.727203e+01 1.054520e+05
9.794697e+01 1.037202e+05
9.862658e+01 1.020201e+05
9.931092e+01 1.003708e+05
1.000000e+02 9.873612e+04
1.006939e+02 9.713056e+04
1.013925e+02 9.551041e+04
1.020961e+02 9.393918e+04
1.028045e+02 9.237279e+04
1.035178e+02 9.082651e+04
1.042361e+02 8.931506e+04
1.049593e+02 8.783081e+04
1.056876e+02 8.636122e+04
1.064209e+02 8.490106e+04
1.071593e+02 8.346384e+04
1.079029e+02 8.208276e+04
1.086516e+02 8.071113e+04
1.094055e+02 7.936402e+04
1.101646e+02 7.803552e+04
1.109290e+02 7.672398e+04
1.116987e+02 7.543080e+04
1.124737e+02 7.414393e+04
1.132541e+02 7.288713e+04
1.140400e+02 7.162195e+04
1.148312e+02 7.039889e+04
1.156280e+02 6.919607e+04
1.164303e+02 6.802103e+04
1.172382e+02 6.683202e+04
1.180517e+02 6.565800e+04
1.188708e+02 6.448741e+04
1.196956e+02 6.331841e+04
1.205261e+02 6.218290e+04
1.213624e+02 6.107284e+04
1.222045e+02 5.999859e+04
1.230524e+02 5.893634e+04
1.239062e+02 5.787386e+04
1.247660e+02 5.683764e+04
1.256317e+02 5.581650e+04
1.265034e+02 5.479228e+04
1.273811e+02 5.378595e+04
1.282650e+02 5.282794e+04
1.291550e+02 5.186462e+04
1.300511e+02 5.089399e+04
1.309535e+02 4.995374e+04
1.318621e+02 4.902850e+04
1.327771e+02 4.811348e+04
1.336984e+02 4.721154e+04
1.346261e+02 4.632863e+04
1.355602e+02 4.546950e+04
1.365008e+02 4.461498e+04
1.374479e+02 4.377575e+04
1.384016e+02 4.293418e+04
1.393619e+02 4.211085e+04
