# Energy(MeV) Fluence_Sferica_Median(p/cm2)
1.679675e+02 9.737027e+04
1.691330e+02 9.531935e+04
1.703065e+02 9.329207e+04
1.714882e+02 9.128932e+04
1.726781e+02 8.932196e+04
1.738762e+02 8.738949e+04
1.750827e+02 8.549675e+04
1.762975e+02 8.363027e+04
1.775208e+02 8.179805e+04
1.787526e+02 8.001026e+04
1.799929e+02 7.825019e+04
1.812418e+02 7.650609e+04
1.824993e+02 7.480321e+04
1.837656e+02 7.314559e+04
1.850407e+02 7.151971e+04
1.863246e+02 6.991718e+04
1.876175e+02 6.834704e+04
1.889193e+02 6.681534e+04
1.902301e+02 6.531425e+04
1.915501e+02 6.383175e+04
1.928792e+02 6.237922e+04
1.942175e+02 6.095393e+04
1.955651e+02 5.956243e+04
1.969220e+02 5.819937e+04
1.982884e+02 5.685244e+04
1.996642e+02 5.553657e+04
2.010496e+02 5.424993e+04
2.024447e+02 5.296585e+04
2.038493e+02 5.171105e+04
2.052638e+02 5.047924e+04
2.066880e+02 4.929102e+04
2.081222e+02 4.811790e+04
2.095662e+02 4.693888e+04
2.110203e+02 4.580467e+04
2.124845e+02 4.469428e+04
2.139589e+02 4.360240e+04
2.154435e+02 4.253269e+04
2.169384e+02 4.148843e+04
2.184436e+02 4.046897e+04
2.199593e+02 3.947037e+04
2.214855e+02 3.847981e+04
2.230223e+02 3.752089e+04
2.245698e+02 3.659231e+04
2.261280e+02 3.567317e+04
2.276970e+02 3.477124e+04
2.292769e+02 3.388831e+04
2.308678e+02 3.302408e+04
2.324697e+02 3.217824e+04
2.340827e+02 3.134589e+04
2.357069e+02 3.053141e+04
2.373424e+02 2.974184e+04
2.389893e+02 2.896227e+04
2.406475e+02 2.820228e+04
2.423173e+02 2.745226e+04
2.439986e+02 2.671770e+04
2.456916e+02 2.600548e+04
2.473964e+02 2.531122e+04
2.491130e+02 2.463802e+04
2.508415e+02 2.397986e+04
2.525820e+02 2.333644e+04
2.543346e+02 2.270752e+04
2.560993e+02 2.209282e+04
2.578763e+02 2.149210e+04
2.596656e+02 2.090140e+04
2.614673e+02 2.031843e+04
2.632815e+02 1.974910e+04
2.651084e+02 1.919317e+04
2.669478e+02 1.865039e+04
2.688001e+02 1.812104e+04
2.706652e+02 1.760755e+04
2.725433e+02 1.710024e+04
2.744343e+02 1.661157e+04
2.763385e+02 1.613186e+04
2.782559e+02 1.566501e+04
2.801867e+02 1.521428e+04
2.821308e+02 1.477582e+04
2.840884e+02 1.434805e+04
2.860596e+02 1.393074e+04
2.880444e+02 1.352251e+04
2.900430e+02 1.312314e+04
2.920556e+02 1.273374e+04
2.940820e+02 1.235413e+04
2.961225e+02 1.198125e+04
2.981772e+02 1.161948e+04
3.002462e+02 1.126536e+04
3.023295e+02 1.091989e+04
3.044272e+02 1.058342e+04
3.065395e+02 1.025576e+04
3.086665e+02 9.936709e+03
3.108082e+02 9.626101e+03
3.129648e+02 9.323753e+03
3.151363e+02 9.029487e+03
3.173230e+02 8.745598e+03
3.195248e+02 8.469347e+03
3.217418e+02 8.198740e+03
3.239743e+02 7.934515e+03
3.262222e+02 7.677555e+03
3.284857e+02 7.427698e+03
3.307650e+02 7.186030e+03
3.330600e+02 6.951960e+03
3.353710e+02 6.724412e+03
3.376980e+02 6.503240e+03
3.400412e+02 6.288299e+03
3.424006e+02 6.079444e+03
3.447764e+02 5.875991e+03
3.471687e+02 5.678006e+03
3.495776e+02 5.486654e+03
3.520031e+02 5.300210e+03
3.544456e+02 5.120008e+03
3.569049e+02 4.945886e+03
3.593814e+02 4.776574e+03
3.618750e+02 4.611702e+03
3.643859e+02 4.451729e+03
3.669142e+02 4.295588e+03
3.694601e+02 4.143816e+03
3.720237e+02 3.996669e+03
3.746050e+02 3.854031e+03
3.772042e+02 3.715789e+03
3.798215e+02 3.581831e+03
3.824570e+02 3.452047e+03
3.851107e+02 3.326425e+03
3.877828e+02 3.205069e+03
3.904735e+02 3.087545e+03
3.931829e+02 2.973755e+03
