# Energy(MeV) Fluence_Sferica_Median(p/cm2)
1.579084e+02 1.459908e+04
1.610737e+02 1.374764e+04
1.643024e+02 1.296360e+04
1.675958e+02 1.219258e+04
1.709552e+02 1.145440e+04
1.743820e+02 1.076468e+04
1.778775e+02 1.011669e+04
1.814430e+02 9.537807e+03
1.850801e+02 8.957502e+03
1.887900e+02 8.401944e+03
1.925743e+02 7.885671e+03
1.964344e+02 7.405070e+03
2.003719e+02 6.943038e+03
2.043883e+02 6.513473e+03
2.084853e+02 6.112305e+03
2.126644e+02 5.727753e+03
2.169272e+02 5.366939e+03
2.212755e+02 5.045822e+03
2.257109e+02 4.724720e+03
2.302353e+02 4.420226e+03
2.348503e+02 4.125693e+03
2.395579e+02 3.843768e+03
2.443598e+02 3.608982e+03
2.492580e+02 3.375241e+03
2.542544e+02 3.165532e+03
2.593509e+02 2.967902e+03
2.645495e+02 2.775558e+03
2.698524e+02 2.605540e+03
2.752616e+02 2.442851e+03
2.807792e+02 2.294960e+03
2.864074e+02 2.140360e+03
2.921484e+02 2.009499e+03
2.980045e+02 1.884918e+03
3.039780e+02 1.760087e+03
3.100712e+02 1.646260e+03
3.162865e+02 1.541318e+03
3.226265e+02 1.446008e+03
3.290935e+02 1.351022e+03
3.356901e+02 1.256475e+03
3.424190e+02 1.170900e+03
3.492828e+02 1.093800e+03
3.562841e+02 1.017612e+03
3.634258e+02 9.516820e+02
3.707107e+02 8.886745e+02
3.781415e+02 8.297226e+02
3.857213e+02 7.733629e+02
3.934531e+02 7.187066e+02
4.013398e+02 6.666524e+02
4.093847e+02 6.199609e+02
4.175907e+02 5.773810e+02
4.259613e+02 5.377524e+02
4.344997e+02 4.981396e+02
4.432092e+02 4.631095e+02
4.520933e+02 4.288807e+02
4.611555e+02 3.964336e+02
4.703993e+02 3.670157e+02
4.798284e+02 3.412152e+02
4.894465e+02 3.161964e+02
4.992574e+02 2.929011e+02
5.092650e+02 2.706336e+02
5.194732e+02 2.510390e+02
5.298860e+02 2.319580e+02
5.405075e+02 2.149110e+02
5.513420e+02 1.983742e+02
5.623936e+02 1.828842e+02
5.736667e+02 1.683619e+02
5.851658e+02 1.553032e+02
5.968954e+02 1.432375e+02
6.088601e+02 1.322418e+02
6.210647e+02 1.215212e+02
6.335139e+02 1.119833e+02
6.462126e+02 1.035372e+02
6.591659e+02 9.532171e+01
6.723788e+02 8.787058e+01
6.858566e+02 8.056350e+01
6.996046e+02 7.388737e+01
7.136281e+02 6.786799e+01
7.279327e+02 6.246737e+01
7.425240e+02 5.755978e+01
7.574079e+02 5.291535e+01
7.725901e+02 4.856735e+01
7.880766e+02 4.445084e+01
8.038735e+02 4.074838e+01
8.199871e+02 3.723292e+01
8.364237e+02 3.416255e+01
8.531897e+02 3.159811e+01
8.702918e+02 2.889825e+01
8.877368e+02 2.626125e+01
9.055314e+02 2.392956e+01
9.236827e+02 2.180880e+01
9.421978e+02 1.981488e+01
9.610841e+02 1.791248e+01
9.803490e+02 1.618122e+01
1.000000e+03 1.470021e+01
