# Energy(MeV) Phi16_Sferica Phi84_Sferica
1.220438e+01 1.139236e+07 2.524854e+07
1.244902e+01 1.079885e+07 2.390835e+07
1.269856e+01 1.023614e+07 2.262671e+07
1.295310e+01 9.702633e+06 2.143210e+07
1.321274e+01 9.196818e+06 2.031603e+07
1.347759e+01 8.717263e+06 1.927116e+07
1.374775e+01 8.262607e+06 1.827785e+07
1.402332e+01 7.831561e+06 1.731798e+07
1.430442e+01 7.422902e+06 1.640672e+07
1.459115e+01 7.035472e+06 1.554322e+07
1.488362e+01 6.668170e+06 1.472406e+07
1.518197e+01 6.319954e+06 1.395051e+07
1.548629e+01 5.989835e+06 1.320760e+07
1.579671e+01 5.676875e+06 1.251701e+07
1.611335e+01 5.380185e+06 1.184927e+07
1.643634e+01 5.079536e+06 1.122367e+07
1.676581e+01 4.803907e+06 1.062971e+07
1.710188e+01 4.547342e+06 1.006732e+07
1.744468e+01 4.278933e+06 9.544879e+06
1.779436e+01 4.042142e+06 9.037606e+06
1.815105e+01 3.819989e+06 8.556478e+06
1.851488e+01 3.610027e+06 8.099818e+06
1.888601e+01 3.416287e+06 7.673523e+06
1.926458e+01 3.216333e+06 7.271887e+06
1.965074e+01 3.039140e+06 6.895883e+06
2.004464e+01 2.866976e+06 6.525845e+06
2.044643e+01 2.711660e+06 6.180529e+06
2.085628e+01 2.564447e+06 5.860240e+06
2.127434e+01 2.432732e+06 5.553044e+06
2.170078e+01 2.307743e+06 5.261812e+06
2.213577e+01 2.189139e+06 4.985376e+06
2.257948e+01 2.076594e+06 4.721961e+06
2.303209e+01 1.969800e+06 4.469268e+06
2.349376e+01 1.864401e+06 4.233301e+06
2.396469e+01 1.759642e+06 4.009646e+06
2.444506e+01 1.658940e+06 3.798371e+06
2.493506e+01 1.563017e+06 3.596285e+06
2.543488e+01 1.473039e+06 3.408817e+06
2.594472e+01 1.395126e+06 3.231040e+06
2.646478e+01 1.320864e+06 3.060725e+06
2.699527e+01 1.238469e+06 2.899651e+06
2.753639e+01 1.170471e+06 2.746455e+06
2.808835e+01 1.103859e+06 2.600268e+06
2.865138e+01 1.040593e+06 2.463922e+06
2.922570e+01 9.816428e+05 2.334826e+06
2.981152e+01 9.297222e+05 2.212173e+06
3.040909e+01 8.805102e+05 2.093061e+06
3.101864e+01 8.346387e+05 1.982797e+06
3.164041e+01 7.914460e+05 1.877626e+06
3.227464e+01 7.504672e+05 1.777132e+06
3.292158e+01 7.115897e+05 1.682437e+06
3.358149e+01 6.747062e+05 1.593419e+06
3.425463e+01 6.350988e+05 1.508731e+06
3.494126e+01 5.990082e+05 1.428942e+06
3.564165e+01 5.672675e+05 1.352080e+06
3.635609e+01 5.377511e+05 1.279997e+06
3.708484e+01 5.099247e+05 1.212103e+06
3.782820e+01 4.835986e+05 1.146918e+06
3.858647e+01 4.586072e+05 1.085680e+06
3.935993e+01 4.348837e+05 1.028622e+06
4.014890e+01 4.084270e+05 9.731912e+05
4.095368e+01 3.823730e+05 9.205639e+05
4.177459e+01 3.608216e+05 8.708021e+05
4.261196e+01 3.368420e+05 8.238676e+05
4.346611e+01 3.183010e+05 7.792613e+05
4.433739e+01 3.011619e+05 7.374728e+05
4.522613e+01 2.849259e+05 6.977022e+05
4.613268e+01 2.691254e+05 6.594183e+05
4.705741e+01 2.533097e+05 6.243729e+05
4.800067e+01 2.392278e+05 5.906191e+05
4.896284e+01 2.259057e+05 5.584654e+05
4.994430e+01 2.134754e+05 5.279881e+05
5.094543e+01 1.996843e+05 4.992202e+05
5.196662e+01 1.857690e+05 4.720940e+05
5.300829e+01 1.746491e+05 4.467237e+05
5.407084e+01 1.647778e+05 4.226217e+05
5.515468e+01 1.554472e+05 3.998792e+05
5.626026e+01 1.468184e+05 3.784751e+05
5.738799e+01 1.385443e+05 3.578347e+05
5.853833e+01 1.300910e+05 3.390119e+05
5.971172e+01 1.224767e+05 3.205963e+05
6.090864e+01 1.151422e+05 3.028867e+05
6.212955e+01 1.087115e+05 2.861401e+05
6.337493e+01 1.024083e+05 2.707446e+05
6.464528e+01 9.660650e+04 2.560921e+05
6.594109e+01 9.116604e+04 2.424347e+05
6.726287e+01 8.604383e+04 2.290089e+05
6.861115e+01 8.120649e+04 2.164959e+05
6.998645e+01 7.663830e+04 2.047463e+05
7.138933e+01 7.228887e+04 1.934791e+05
7.282032e+01 6.803815e+04 1.829201e+05
7.428000e+01 6.416435e+04 1.728588e+05
7.576894e+01 6.055120e+04 1.632770e+05
7.728772e+01 5.713949e+04 1.540539e+05
7.883694e+01 5.391805e+04 1.453106e+05
8.041722e+01 5.087637e+04 1.371980e+05
8.202918e+01 4.800446e+04 1.296981e+05
8.367345e+01 4.462036e+04 1.224324e+05
8.535068e+01 4.204855e+04 1.157934e+05
8.706153e+01 3.956227e+04 1.094203e+05
8.880667e+01 3.697173e+04 1.031932e+05
9.058679e+01 3.485944e+04 9.735314e+04
9.240260e+01 3.293314e+04 9.190289e+04
9.425480e+01 3.107373e+04 8.671152e+04
9.614413e+01 2.911913e+04 8.198796e+04
9.807133e+01 2.745042e+04 7.731018e+04
1.000372e+02 2.578423e+04 7.302038e+04
1.020424e+02 2.389338e+04 6.900474e+04
1.040878e+02 2.220005e+04 6.520757e+04
1.061743e+02 2.079480e+04 6.153665e+04
1.083025e+02 1.959652e+04 5.806960e+04
1.104734e+02 1.838259e+04 5.477354e+04
1.126879e+02 1.730431e+04 5.164117e+04
1.149467e+02 1.610093e+04 4.872020e+04
1.172508e+02 1.500189e+04 4.599167e+04
1.196011e+02 1.404163e+04 4.335108e+04
1.219985e+02 1.311672e+04 4.084562e+04
1.244439e+02 1.236072e+04 3.852794e+04
1.269384e+02 1.155331e+04 3.635053e+04
1.294828e+02 1.074001e+04 3.429461e+04
1.320783e+02 9.887351e+03 3.234268e+04
1.347258e+02 9.314692e+03 3.051157e+04
1.374264e+02 8.740350e+03 2.877855e+04
1.401811e+02 8.091462e+03 2.710750e+04
1.429910e+02 7.529467e+03 2.555340e+04
1.458573e+02 7.060067e+03 2.407080e+04
1.487810e+02 6.584779e+03 2.265745e+04
1.517633e+02 6.055466e+03 2.131915e+04
1.548053e+02 5.671704e+03 2.005716e+04
1.579084e+02 5.215770e+03 1.887884e+04
1.610737e+02 4.769990e+03 1.778151e+04
1.643024e+02 4.390811e+03 1.673964e+04
1.675958e+02 4.105145e+03 1.575596e+04
1.709552e+02 3.750021e+03 1.485872e+04
1.743820e+02 3.425679e+03 1.399994e+04
1.778775e+02 3.135475e+03 1.316660e+04
1.814430e+02 2.892793e+03 1.241272e+04
1.850801e+02 2.701940e+03 1.168909e+04
1.887900e+02 2.471670e+03 1.098558e+04
1.925743e+02 2.285709e+03 1.033483e+04
1.964344e+02 2.140195e+03 9.729764e+03
2.003719e+02 2.003718e+03 9.160255e+03
2.043883e+02 1.878691e+03 8.615113e+03
2.084853e+02 1.759916e+03 8.097750e+03
2.126644e+02 1.608108e+03 7.609200e+03
2.169272e+02 1.484171e+03 7.160047e+03
2.212755e+02 1.394863e+03 6.730333e+03
2.257109e+02 1.305624e+03 6.328898e+03
2.302353e+02 1.202544e+03 5.945284e+03
2.348503e+02 1.095991e+03 5.585882e+03
2.395579e+02 9.999866e+02 5.239822e+03
2.443598e+02 9.239888e+02 4.919560e+03
2.492580e+02 8.499515e+02 4.612226e+03
2.542544e+02 7.938282e+02 4.326124e+03
2.593509e+02 7.428529e+02 4.059624e+03
2.645495e+02 6.950033e+02 3.801984e+03
2.698524e+02 6.447254e+02 3.562845e+03
2.752616e+02 5.890737e+02 3.338812e+03
2.807792e+02 5.367349e+02 3.127685e+03
2.864074e+02 4.920630e+02 2.934492e+03
2.921484e+02 4.531609e+02 2.749320e+03
2.980045e+02 4.208085e+02 2.578687e+03
3.039780e+02 3.906870e+02 2.413144e+03
3.100712e+02 3.609468e+02 2.260610e+03
3.162865e+02 3.283321e+02 2.120010e+03
3.226265e+02 2.984309e+02 1.984484e+03
3.290935e+02 2.710383e+02 1.855672e+03
3.356901e+02 2.459246e+02 1.737155e+03
3.424190e+02 2.221133e+02 1.626420e+03
3.492828e+02 2.001820e+02 1.522892e+03
3.562841e+02 1.802224e+02 1.425126e+03
3.634258e+02 1.637954e+02 1.331760e+03
3.707107e+02 1.477588e+02 1.244068e+03
3.781415e+02 1.332196e+02 1.163598e+03
3.857213e+02 1.225307e+02 1.086659e+03
3.934531e+02 1.124431e+02 1.016869e+03
4.013398e+02 1.002575e+02 9.494871e+02
4.093847e+02 9.002671e+01 8.873162e+02
4.175907e+02 8.152041e+01 8.275054e+02
4.259613e+02 7.419767e+01 7.723153e+02
4.344997e+02 6.851680e+01 7.225781e+02
4.432092e+02 6.113635e+01 6.747618e+02
4.520933e+02 5.483931e+01 6.298961e+02
4.611555e+02 4.938697e+01 5.863176e+02
4.703993e+02 4.409844e+01 5.449711e+02
4.798284e+02 4.010290e+01 5.089397e+02
4.894465e+02 3.588295e+01 4.751941e+02
4.992574e+02 3.157293e+01 4.440200e+02
5.092650e+02 2.773847e+01 4.133490e+02
5.194732e+02 2.433199e+01 3.854474e+02
5.298860e+02 2.183840e+01 3.593599e+02
5.405075e+02 1.907641e+01 3.338152e+02
5.513420e+02 1.678544e+01 3.098724e+02
5.623936e+02 1.477557e+01 2.873891e+02
5.736667e+02 1.281888e+01 2.678854e+02
5.851658e+02 1.110125e+01 2.489756e+02
5.968954e+02 9.596092e+00 2.312140e+02
6.088601e+02 8.279445e+00 2.145591e+02
6.210647e+02 7.129781e+00 1.994008e+02
6.335139e+02 6.133745e+00 1.853109e+02
6.462126e+02 5.266848e+00 1.723309e+02
6.591659e+02 4.519478e+00 1.598083e+02
6.723788e+02 3.878855e+00 1.487623e+02
6.858566e+02 3.322362e+00 1.379593e+02
6.996046e+02 2.839886e+00 1.280869e+02
7.136281e+02 2.422411e+00 1.188763e+02
7.279327e+02 2.061909e+00 1.095688e+02
7.425240e+02 1.751902e+00 1.014967e+02
7.574079e+02 1.486348e+00 9.353821e+01
7.725901e+02 1.258218e+00 8.652658e+01
7.880766e+02 1.062664e+00 7.976852e+01
8.038735e+02 9.216950e-01 7.355504e+01
8.199871e+02 7.743209e-01 6.775727e+01
8.364237e+02 6.469749e-01 6.249828e+01
8.531897e+02 5.391756e-01 5.771157e+01
8.702918e+02 4.481536e-01 5.332551e+01
8.877368e+02 3.714964e-01 4.920696e+01
9.055314e+02 3.071071e-01 4.537180e+01
9.236827e+02 2.531682e-01 4.204009e+01
9.421978e+02 2.084202e-01 3.868199e+01
9.610841e+02 1.714069e-01 3.555950e+01
9.803490e+02 1.405628e-01 3.266668e+01
1.000000e+03 1.150201e-01 3.007826e+01
