Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)(MeV-1 cm-2)
8.1568e+00	1.1895e+07	2.4008e+04
8.2514e+00	1.1640e+07	2.4088e+04
8.3471e+00	1.1388e+07	2.4168e+04
8.4439e+00	1.1144e+07	2.4249e+04
8.5419e+00	1.0906e+07	2.4331e+04
8.6409e+00	1.0673e+07	2.4415e+04
8.7412e+00	1.0445e+07	2.4499e+04
8.8426e+00	1.0219e+07	2.4584e+04
8.9451e+00	9.9962e+06	2.4670e+04
9.0489e+00	9.7788e+06	2.4757e+04
9.1538e+00	9.5689e+06	2.4845e+04
9.2600e+00	9.3659e+06	2.4934e+04
9.3674e+00	9.1665e+06	2.5024e+04
9.4761e+00	8.9683e+06	2.5114e+04
9.5860e+00	8.7752e+06	2.5207e+04
9.6972e+00	8.5848e+06	2.5303e+04
9.8096e+00	8.3998e+06	2.5401e+04
9.9234e+00	8.2188e+06	2.5499e+04
1.0039e+01	8.0417e+06	2.5596e+04
1.0155e+01	7.8684e+06	2.5698e+04
1.0273e+01	7.7008e+06	2.5795e+04
1.0392e+01	7.5342e+06	2.5890e+04
1.0512e+01	7.3707e+06	2.5988e+04
1.0634e+01	7.2131e+06	2.6088e+04
1.0758e+01	7.0588e+06	2.6188e+04
1.0882e+01	6.9085e+06	2.6289e+04
1.1009e+01	6.7634e+06	2.6392e+04
1.1136e+01	6.6205e+06	2.6495e+04
1.1266e+01	6.4812e+06	2.6600e+04
1.1396e+01	6.3449e+06	2.6707e+04
1.1528e+01	6.2060e+06	2.6815e+04
1.1662e+01	6.0730e+06	2.6940e+04
1.1797e+01	5.9428e+06	2.7072e+04
1.1934e+01	5.8166e+06	2.7184e+04
1.2073e+01	5.6894e+06	2.7295e+04
1.2213e+01	5.5642e+06	2.7407e+04
1.2354e+01	5.4446e+06	2.7519e+04
1.2498e+01	5.3281e+06	2.7632e+04
1.2643e+01	5.2133e+06	2.7747e+04
1.2789e+01	5.1012e+06	2.7863e+04
1.2938e+01	4.9926e+06	2.7980e+04
1.3088e+01	4.8857e+06	2.8099e+04
1.3239e+01	4.7808e+06	2.8220e+04
1.3393e+01	4.6770e+06	2.8343e+04
1.3548e+01	4.5740e+06	2.8468e+04
1.3706e+01	4.4742e+06	2.8594e+04
1.3864e+01	4.3774e+06	2.8710e+04
1.4025e+01	4.2818e+06	2.8828e+04
1.4188e+01	4.1890e+06	2.8955e+04
1.4353e+01	4.0987e+06	2.9083e+04
1.4519e+01	4.0118e+06	2.9211e+04
1.4687e+01	3.9267e+06	2.9340e+04
1.4858e+01	3.8433e+06	2.9470e+04
1.5030e+01	3.7604e+06	2.9600e+04
1.5204e+01	3.6796e+06	2.9732e+04
1.5381e+01	3.5995e+06	2.9864e+04
1.5559e+01	3.5213e+06	2.9996e+04
