E_MeV,Fluence_per_cm2_per_MeV
453.3729304689001,4806.79438538393
460.60269470475885,4471.240131809577
467.94774921798876,4159.110357849772
475.40993249842415,3868.769839872686
482.9911123535918,3598.697506465445
490.69318637623,3347.478469659168
498.51808241925875,3113.7966124409327
506.4677590783312,2896.427693718904
514.544206182072,2694.2329346184883
522.749445290142,2506.1530525082003
531.0855301992364,2331.2027115003634
539.5545474571605,2168.4653603528627
548.1586168850955,2017.0884307284987
556.8998921081997,1876.2788706556398
565.7805610946642,1745.2989897906218
574.80284670337,1623.4625947153431
583.9690072402774,1510.1313940232405
593.2813370236837,1404.7116543602554
602.7421669585023,1306.6510899018838
612.3538651196908,1215.4359689706978
622.1188373449926,1130.5884226359628
632.0395278371202,1051.6639411954873
642.118419775552,978.2490454237908
652.3580359380742,909.9591203866115
662.7609393322458,846.4364004731128
673.3297338369223,787.3480950896796
684.0670648540162,732.3846451958472
694.9756199706521,681.2581015485267
706.0581296318729,633.7006161583257
717.3173678240843,589.4630390547143
728.7561527693858,548.3136130087161
740.3773476309875,510.03675937477135
752.1838612298616,474.4319486909849
764.178648772836,441.31265012083725
776.3647125922852,410.50535423264665
788.7451028976297,381.8486639971192
801.3229185388077,355.1924492408702
814.1013077819282,330.3970601261043
827.0834690972954,307.33259553596207
840.272651959989,285.878222532674
853.6721576632252,265.9215433231764
867.2853401446732,247.35800641582006
881.1156068259636,230.09035888321662
895.1664194655689,214.02813686172178
909.4412950253004,199.08719161827068
923.9438065506064,185.18924870171563
938.6775840649245,172.26149786904935
953.6463154782812,160.23621163820584
968.853747510389,149.0503904690431
984.3036866284663,138.64543271364414
1000.0,128.966827606843
