# Energy(MeV)  Phi_res(p/cm2/MeV)  S(MeV*cm2/g)  Dose(MeV/g)  Dose(Gy)
5.584500e+01 4.537100e+06 9.084629e+00 8.676362e+07 1.389953e-02
5.795000e+01 4.132100e+06 8.828000e+00 7.963186e+07 1.275702e-02
6.013300e+01 3.755400e+06 8.580683e+00 7.301935e+07 1.169770e-02
6.239900e+01 3.406000e+06 8.341106e+00 6.681986e+07 1.070454e-02
6.475100e+01 3.083000e+06 8.107908e+00 6.099190e+07 9.770902e-03
6.719100e+01 2.785400e+06 7.882913e+00 5.559529e+07 8.906366e-03
6.972300e+01 2.512000e+06 7.663754e+00 5.057329e+07 8.101842e-03
7.235000e+01 2.261100e+06 7.452000e+00 4.593233e+07 7.358359e-03
7.507600e+01 2.031900e+06 7.247300e+00 4.165926e+07 6.673813e-03
7.790500e+01 1.822900e+06 7.048352e+00 3.772302e+07 6.043228e-03
8.084100e+01 1.632900e+06 6.854939e+00 3.409519e+07 5.462049e-03
8.388700e+01 1.460700e+06 6.668184e+00 3.078882e+07 4.932370e-03
8.704800e+01 1.304700e+06 6.487113e+00 2.776106e+07 4.447321e-03
9.032800e+01 1.163600e+06 6.311103e+00 2.499761e+07 4.004618e-03
9.373200e+01 1.036800e+06 6.140906e+00 2.248786e+07 3.602555e-03
9.726400e+01 9.229200e+05 5.976825e+00 2.022214e+07 3.239586e-03
1.009300e+02 8.202800e+05 5.815784e+00 1.812817e+07 2.904133e-03
1.047300e+02 7.277700e+05 5.661875e+00 1.627614e+07 2.607438e-03
1.086800e+02 6.450400e+05 5.513750e+00 1.454645e+07 2.330341e-03
1.127700e+02 5.711800e+05 5.369061e+00 1.303348e+07 2.087963e-03
1.170200e+02 5.053200e+05 5.227382e+00 1.164902e+07 1.866173e-03
1.214300e+02 4.466800e+05 5.091146e+00 1.041544e+07 1.668553e-03
1.260100e+02 3.945200e+05 4.960733e+00 9.296265e+06 1.489262e-03
1.307600e+02 3.481800e+05 4.834067e+00 8.280977e+06 1.326612e-03
1.356800e+02 3.070700e+05 4.710502e+00 7.405844e+06 1.186416e-03
1.408000e+02 2.706200e+05 4.591000e+00 6.584807e+06 1.054886e-03
1.461000e+02 2.385000e+05 4.476000e+00 5.882068e+06 9.423073e-04
1.516100e+02 2.101100e+05 4.363811e+00 5.235386e+06 8.387089e-04
1.573200e+02 1.847600e+05 4.255653e+00 4.662608e+06 7.469498e-04
1.632500e+02 1.623800e+05 4.152867e+00 4.147206e+06 6.643825e-04
1.694000e+02 1.426400e+05 4.051000e+00 3.686585e+06 5.905909e-04
1.757800e+02 1.252500e+05 3.953306e+00 3.282855e+06 5.259134e-04
1.824100e+02 1.099300e+05 3.858868e+00 2.914291e+06 4.668694e-04
1.892800e+02 9.643700e+04 3.768264e+00 2.591042e+06 4.150850e-04
1.964100e+02 8.459800e+04 3.678883e+00 2.306186e+06 3.694510e-04
2.038200e+02 7.420200e+04 3.593787e+00 2.047996e+06 3.280890e-04
2.115000e+02 6.501100e+04 3.512000e+00 1.819699e+06 2.915159e-04
2.194700e+02 5.694000e+04 3.432300e+00 1.616249e+06 2.589231e-04
2.277400e+02 4.985700e+04 3.354656e+00 1.435031e+06 2.298920e-04
2.363200e+02 4.364300e+04 3.280838e+00 1.274352e+06 2.041512e-04
2.452200e+02 3.819500e+04 3.208850e+00 1.132473e+06 1.814222e-04
2.544600e+02 3.343600e+04 3.140293e+00 1.006939e+06 1.613116e-04
2.640500e+02 2.924200e+04 3.073349e+00 8.942152e+05 1.432533e-04
2.740000e+02 2.557000e+04 3.009000e+00 7.947915e+05 1.273256e-04
2.843300e+02 2.235400e+04 2.945832e+00 7.052655e+05 1.129835e-04
2.950400e+02 1.953900e+04 2.885792e+00 6.270066e+05 1.004465e-04
3.061600e+02 1.708200e+04 2.828206e+00 5.570307e+05 8.923632e-05
3.176900e+02 1.492400e+04 2.773048e+00 4.953780e+05 7.935956e-05
3.296600e+02 1.303700e+04 2.719180e+00 4.406429e+05 7.059099e-05
3.420900e+02 1.138700e+04 2.667042e+00 3.914642e+05 6.271257e-05
3.549800e+02 9.947300e+03 2.617076e+00 3.480591e+05 5.575906e-05
