# E(MeV) Phi16 Phi84
4.346611e+01 3.964924e+04 3.508358e+06
4.433739e+01 3.459481e+04 3.306999e+06
4.522613e+01 3.013457e+04 3.119298e+06
4.613268e+01 2.620049e+04 2.947302e+06
4.705741e+01 2.277146e+04 2.786953e+06
4.800067e+01 1.972683e+04 2.621474e+06
4.896284e+01 1.705264e+04 2.473620e+06
4.994430e+01 1.471298e+04 2.334040e+06
5.094543e+01 1.263085e+04 2.199188e+06
5.196662e+01 1.083798e+04 2.075979e+06
5.300829e+01 9.293900e+03 1.958747e+06
5.407084e+01 7.942234e+03 1.847952e+06
5.515468e+01 6.783148e+03 1.743575e+06
5.626026e+01 5.785677e+03 1.646544e+06
5.738799e+01 4.921085e+03 1.551729e+06
5.853833e+01 4.179326e+03 1.462254e+06
5.971172e+01 3.540134e+03 1.379894e+06
6.090864e+01 2.991835e+03 1.298159e+06
6.212955e+01 2.522054e+03 1.219502e+06
6.337493e+01 2.120460e+03 1.149950e+06
6.464528e+01 1.777691e+03 1.086553e+06
6.594109e+01 1.488232e+03 1.026515e+06
6.726287e+01 1.241967e+03 9.698506e+05
6.861115e+01 1.033710e+03 9.171921e+05
6.998645e+01 8.580525e+02 8.663770e+05
7.138933e+01 7.092983e+02 8.180811e+05
7.282032e+01 5.849103e+02 7.718262e+05
7.428000e+01 4.808094e+02 7.288235e+05
7.576894e+01 3.945389e+02 6.859438e+05
7.728772e+01 3.221083e+02 6.485933e+05
7.883694e+01 2.625040e+02 6.124285e+05
8.041722e+01 2.132887e+02 5.770083e+05
8.202918e+01 1.728803e+02 5.460153e+05
8.367345e+01 1.394069e+02 5.150218e+05
8.535068e+01 1.118623e+02 4.849348e+05
8.706153e+01 8.962341e+01 4.590118e+05
8.880667e+01 7.152967e+01 4.331486e+05
9.058679e+01 5.699540e+01 4.085157e+05
9.240260e+01 4.525574e+01 3.849623e+05
9.425480e+01 3.583659e+01 3.636018e+05
9.614413e+01 2.829287e+01 3.432995e+05
9.807133e+01 2.220200e+01 3.237741e+05
1.000372e+02 1.730750e+01 3.063605e+05
1.020424e+02 1.345353e+01 2.903798e+05
1.040878e+02 1.041648e+01 2.737766e+05
1.061743e+02 8.025972e+00 2.584536e+05
1.083025e+02 6.160556e+00 2.448075e+05
1.104734e+02 4.713821e+00 2.312762e+05
1.126879e+02 3.587968e+00 2.180905e+05
1.149467e+02 2.725072e+00 2.059988e+05
1.172508e+02 2.060176e+00 1.948589e+05
1.196011e+02 1.550640e+00 1.841261e+05
1.219985e+02 1.160930e+00 1.735679e+05
1.244439e+02 8.653112e-01 1.640191e+05
1.269384e+02 6.412240e-01 1.547805e+05
1.294828e+02 4.721920e-01 1.456281e+05
1.320783e+02 3.459536e-01 1.375423e+05
1.347258e+02 2.526480e-01 1.302815e+05
1.374264e+02 1.837105e-01 1.234371e+05
1.401811e+02 1.325700e-01 1.166115e+05
1.429910e+02 9.501299e-02 1.098804e+05
1.458573e+02 6.776912e-02 1.036531e+05
1.487810e+02 4.803580e-02 9.807297e+04
1.517633e+02 3.389998e-02 9.271214e+04
1.548053e+02 2.377418e-02 8.780128e+04
1.579084e+02 1.654808e-02 8.287682e+04
1.610737e+02 1.146674e-02 7.835969e+04
1.643024e+02 7.887331e-03 7.404098e+04
1.675958e+02 5.395239e-03 6.979952e+04
1.709552e+02 3.663056e-03 6.590936e+04
1.743820e+02 2.470313e-03 6.232837e+04
1.778775e+02 1.654540e-03 5.872339e+04
1.814430e+02 1.104834e-03 5.554388e+04
1.850801e+02 7.295591e-04 5.245259e+04
1.887900e+02 4.781874e-04 4.964152e+04
1.925743e+02 3.119560e-04 4.683654e+04
1.964344e+02 2.016735e-04 4.417885e+04
2.003719e+02 1.292203e-04 4.168715e+04
2.043883e+02 8.235443e-05 3.928410e+04
2.084853e+02 5.207187e-05 3.707021e+04
2.126644e+02 3.261528e-05 3.500268e+04
2.169272e+02 2.026828e-05 3.305048e+04
2.212755e+02 1.246431e-05 3.111841e+04
2.257109e+02 7.604825e-06 2.941700e+04
2.302353e+02 4.600405e-06 2.781545e+04
2.348503e+02 2.757810e-06 2.622537e+04
2.395579e+02 1.637636e-06 2.473421e+04
