# E(MeV) Fluence
2.698524e+02 2.815070e+04
2.752616e+02 2.655376e+04
2.807792e+02 2.497048e+04
2.864074e+02 2.337492e+04
2.921484e+02 2.190250e+04
2.980045e+02 2.047385e+04
3.039780e+02 1.907621e+04
3.100712e+02 1.780124e+04
3.162865e+02 1.677779e+04
3.226265e+02 1.583239e+04
3.290935e+02 1.482833e+04
3.356901e+02 1.384371e+04
3.424190e+02 1.292426e+04
3.492828e+02 1.209879e+04
3.562841e+02 1.139740e+04
3.634258e+02 1.075017e+04
3.707107e+02 1.014866e+04
3.781415e+02 9.490862e+03
3.857213e+02 8.897366e+03
3.934531e+02 8.340744e+03
4.013398e+02 7.809814e+03
4.093847e+02 7.313929e+03
4.175907e+02 6.870975e+03
4.259613e+02 6.474470e+03
4.344997e+02 6.059917e+03
4.432092e+02 5.671602e+03
4.520933e+02 5.308184e+03
4.611555e+02 4.968062e+03
4.703993e+02 4.649738e+03
4.798284e+02 4.360973e+03
4.894465e+02 4.089574e+03
4.992574e+02 3.826092e+03
5.092650e+02 3.573185e+03
5.194732e+02 3.336875e+03
5.298860e+02 3.116077e+03
5.405075e+02 2.909779e+03
5.513420e+02 2.717034e+03
5.623936e+02 2.536956e+03
5.736667e+02 2.368717e+03
5.851658e+02 2.211544e+03
5.968954e+02 2.064713e+03
6.088601e+02 1.927547e+03
6.210647e+02 1.799414e+03
6.335139e+02 1.679723e+03
6.462126e+02 1.567921e+03
6.591659e+02 1.463492e+03
6.723788e+02 1.365952e+03
6.858566e+02 1.274851e+03
6.996046e+02 1.194905e+03
7.136281e+02 1.124404e+03
7.279327e+02 1.058310e+03
7.425240e+02 9.971242e+02
7.574079e+02 9.383442e+02
7.725901e+02 8.759667e+02
7.880766e+02 8.176989e+02
8.038735e+02 7.632715e+02
8.199871e+02 7.124329e+02
8.364237e+02 6.649479e+02
8.531897e+02 6.205967e+02
8.702918e+02 5.766690e+02
8.877368e+02 5.357897e+02
9.055314e+02 4.977735e+02
9.236827e+02 4.631995e+02
9.421978e+02 4.314315e+02
9.610841e+02 4.030460e+02
9.803490e+02 3.765523e+02
1.000000e+03 3.506839e+02
