# E(MeV) Phi16 Phi84
1.220438e+01 7.161103e+07 3.374385e+08
1.244902e+01 6.675763e+07 3.247092e+08
1.269856e+01 6.256345e+07 3.120446e+08
1.295310e+01 5.808075e+07 2.999479e+08
1.321274e+01 5.426011e+07 2.884669e+08
1.347759e+01 5.058417e+07 2.773000e+08
1.374775e+01 4.723167e+07 2.664041e+08
1.402332e+01 4.393571e+07 2.553248e+08
1.430442e+01 4.081560e+07 2.446096e+08
1.459115e+01 3.798344e+07 2.345375e+08
1.488362e+01 3.531760e+07 2.248581e+08
1.518197e+01 3.285768e+07 2.155222e+08
1.548629e+01 3.050562e+07 2.065921e+08
1.579671e+01 2.827054e+07 1.981788e+08
1.611335e+01 2.620450e+07 1.901930e+08
1.643634e+01 2.430012e+07 1.816967e+08
1.676581e+01 2.256304e+07 1.733439e+08
1.710188e+01 2.090388e+07 1.658097e+08
1.744468e+01 1.925667e+07 1.582549e+08
1.779436e+01 1.775132e+07 1.514217e+08
1.815105e+01 1.641482e+07 1.449175e+08
1.851488e+01 1.516339e+07 1.383445e+08
1.888601e+01 1.392850e+07 1.321036e+08
1.926458e+01 1.282501e+07 1.260631e+08
1.965074e+01 1.178510e+07 1.202294e+08
2.004464e+01 1.082621e+07 1.148093e+08
2.044643e+01 9.937485e+06 1.095567e+08
2.085628e+01 9.087194e+06 1.041120e+08
2.127434e+01 8.310579e+06 9.911642e+07
2.170078e+01 7.604873e+06 9.437662e+07
2.213577e+01 6.933115e+06 8.987854e+07
2.257948e+01 6.312254e+06 8.598298e+07
2.303209e+01 5.782814e+06 8.194445e+07
2.349376e+01 5.277851e+06 7.819027e+07
2.396469e+01 4.799385e+06 7.414590e+07
2.444506e+01 4.358514e+06 7.026730e+07
2.493506e+01 3.963531e+06 6.678354e+07
2.543488e+01 3.602033e+06 6.336813e+07
2.594472e+01 3.251199e+06 5.996302e+07
2.646478e+01 2.938855e+06 5.689898e+07
2.699527e+01 2.657384e+06 5.400428e+07
2.753639e+01 2.417431e+06 5.120898e+07
2.808835e+01 2.178972e+06 4.862863e+07
2.865138e+01 1.966116e+06 4.609574e+07
2.922570e+01 1.759103e+06 4.370656e+07
2.981152e+01 1.581095e+06 4.136005e+07
3.040909e+01 1.420919e+06 3.912869e+07
3.101864e+01 1.271541e+06 3.701876e+07
3.164041e+01 1.137843e+06 3.496967e+07
3.227464e+01 1.015360e+06 3.311325e+07
3.292158e+01 9.070467e+05 3.128348e+07
3.358149e+01 8.078344e+05 2.957614e+07
3.425463e+01 7.169785e+05 2.798514e+07
3.494126e+01 6.367612e+05 2.645448e+07
3.564165e+01 5.657337e+05 2.502476e+07
3.635609e+01 5.018738e+05 2.368846e+07
3.708484e+01 4.438244e+05 2.232109e+07
3.782820e+01 3.926113e+05 2.104127e+07
3.858647e+01 3.465574e+05 1.985382e+07
3.935993e+01 3.055738e+05 1.874439e+07
4.014890e+01 2.686442e+05 1.769779e+07
4.095368e+01 2.361718e+05 1.668631e+07
4.177459e+01 2.069717e+05 1.575466e+07
4.261196e+01 1.812803e+05 1.487289e+07
4.346611e+01 1.585970e+05 1.403343e+07
4.433739e+01 1.383792e+05 1.322800e+07
4.522613e+01 1.205383e+05 1.247719e+07
4.613268e+01 1.048020e+05 1.178921e+07
4.705741e+01 9.108583e+04 1.114781e+07
4.800067e+01 7.890730e+04 1.048590e+07
4.896284e+01 6.821057e+04 9.894478e+06
4.994430e+01 5.885192e+04 9.336160e+06
5.094543e+01 5.052339e+04 8.796753e+06
5.196662e+01 4.335193e+04 8.303916e+06
5.300829e+01 3.717560e+04 7.834990e+06
5.407084e+01 3.176894e+04 7.391807e+06
5.515468e+01 2.713259e+04 6.974301e+06
5.626026e+01 2.314271e+04 6.586174e+06
5.738799e+01 1.968434e+04 6.206918e+06
5.853833e+01 1.671730e+04 5.849016e+06
5.971172e+01 1.416053e+04 5.519576e+06
6.090864e+01 1.196734e+04 5.192634e+06
6.212955e+01 1.008822e+04 4.878006e+06
6.337493e+01 8.481839e+03 4.599801e+06
6.464528e+01 7.110765e+03 4.346212e+06
6.594109e+01 5.952930e+03 4.106062e+06
6.726287e+01 4.967869e+03 3.879403e+06
6.861115e+01 4.134841e+03 3.668769e+06
6.998645e+01 3.432210e+03 3.465508e+06
7.138933e+01 2.837193e+03 3.272324e+06
7.282032e+01 2.339641e+03 3.087305e+06
7.428000e+01 1.923238e+03 2.915294e+06
7.576894e+01 1.578156e+03 2.743775e+06
7.728772e+01 1.288433e+03 2.594373e+06
7.883694e+01 1.050016e+03 2.449714e+06
8.041722e+01 8.531549e+02 2.308033e+06
8.202918e+01 6.915211e+02 2.184061e+06
8.367345e+01 5.576277e+02 2.060087e+06
8.535068e+01 4.474494e+02 1.939739e+06
8.706153e+01 3.584937e+02 1.836047e+06
8.880667e+01 2.861187e+02 1.732594e+06
9.058679e+01 2.279816e+02 1.634063e+06
9.240260e+01 1.810230e+02 1.539849e+06
9.425480e+01 1.433464e+02 1.454407e+06
9.614413e+01 1.131715e+02 1.373198e+06
9.807133e+01 8.880799e+01 1.295096e+06
1.000372e+02 6.923001e+01 1.225442e+06
1.020424e+02 5.381410e+01 1.161519e+06
1.040878e+02 4.166591e+01 1.095106e+06
1.061743e+02 3.210389e+01 1.033814e+06
1.083025e+02 2.464222e+01 9.792299e+05
1.104734e+02 1.885528e+01 9.251047e+05
1.126879e+02 1.435187e+01 8.723619e+05
1.149467e+02 1.090029e+01 8.239951e+05
1.172508e+02 8.240704e+00 7.794357e+05
1.196011e+02 6.202559e+00 7.365044e+05
1.219985e+02 4.643718e+00 6.942715e+05
1.244439e+02 3.461245e+00 6.560762e+05
1.269384e+02 2.564896e+00 6.191220e+05
1.294828e+02 1.888768e+00 5.825124e+05
1.320783e+02 1.383814e+00 5.501693e+05
1.347258e+02 1.010592e+00 5.211260e+05
1.374264e+02 7.348421e-01 4.937484e+05
1.401811e+02 5.302800e-01 4.664462e+05
1.429910e+02 3.800520e-01 4.395217e+05
1.458573e+02 2.710765e-01 4.146125e+05
1.487810e+02 1.921432e-01 3.922919e+05
1.517633e+02 1.355999e-01 3.708486e+05
1.548053e+02 9.509670e-02 3.512051e+05
1.579084e+02 6.619234e-02 3.315073e+05
1.610737e+02 4.586696e-02 3.134388e+05
1.643024e+02 3.154932e-02 2.961639e+05
1.675958e+02 2.158096e-02 2.791981e+05
1.709552e+02 1.465223e-02 2.636374e+05
1.743820e+02 9.881253e-03 2.493135e+05
1.778775e+02 6.618160e-03 2.348935e+05
1.814430e+02 4.419336e-03 2.221755e+05
1.850801e+02 2.918236e-03 2.098103e+05
1.887900e+02 1.912749e-03 1.985661e+05
1.925743e+02 1.247824e-03 1.873462e+05
1.964344e+02 8.066941e-04 1.767154e+05
2.003719e+02 5.168813e-04 1.667486e+05
2.043883e+02 3.294177e-04 1.571364e+05
2.084853e+02 2.082875e-04 1.482809e+05
2.126644e+02 1.304611e-04 1.400107e+05
2.169272e+02 8.107313e-05 1.322019e+05
2.212755e+02 4.985722e-05 1.244737e+05
2.257109e+02 3.041930e-05 1.176680e+05
2.302353e+02 1.840162e-05 1.112618e+05
2.348503e+02 1.103124e-05 1.049015e+05
2.395579e+02 6.550544e-06 9.893682e+04
2.443598e+02 3.851315e-06 9.358315e+04
2.492580e+02 2.240044e-06 8.829234e+04
2.542544e+02 1.293246e-06 8.350915e+04
2.593509e+02 7.394431e-07 7.891217e+04
2.645495e+02 4.187188e-07 7.452430e+04
2.698524e+02 2.341575e-07 7.027444e+04
2.752616e+02 1.295747e-07 6.631960e+04
2.807792e+02 7.097618e-08 6.255572e+04
2.864074e+02 3.843124e-08 5.909312e+04
2.921484e+02 2.057652e-08 5.594813e+04
2.980045e+02 1.089583e-08 5.297510e+04
3.039780e+02 5.702308e-09 4.997059e+04
3.100712e+02 2.951503e-09 4.713200e+04
3.162865e+02 1.507259e-09 4.461021e+04
3.226265e+02 7.611701e-10 4.208707e+04
3.290935e+02 3.795868e-10 3.973868e+04
3.356901e+02 1.868810e-10 3.749867e+04
3.424190e+02 9.083431e-11 3.540154e+04
3.492828e+02 4.357057e-11 3.342057e+04
3.562841e+02 2.061396e-11 3.154753e+04
3.634258e+02 9.619492e-12 2.975718e+04
3.707107e+02 4.441770e-12 2.811022e+04
3.781415e+02 2.015684e-12 2.655363e+04
3.857213e+02 8.992595e-13 2.510203e+04
3.934531e+02 3.951383e-13 2.371001e+04
4.013398e+02 1.709553e-13 2.238137e+04
4.093847e+02 7.280318e-14 2.114040e+04
4.175907e+02 3.052016e-14 1.997396e+04
4.259613e+02 1.258029e-14 1.886483e+04
4.344997e+02 5.096683e-15 1.780594e+04
4.432092e+02 2.029873e-15 1.681565e+04
4.520933e+02 7.946451e-16 1.587988e+04
4.611555e+02 3.055740e-16 1.499528e+04
4.703993e+02 1.154069e-16 1.415388e+04
4.798284e+02 4.271912e-17 1.332379e+04
4.894465e+02 1.553182e-17 1.255745e+04
4.992574e+02 5.539593e-18 1.183708e+04
5.092650e+02 1.937487e-18 1.117990e+04
5.194732e+02 6.642722e-19 1.055878e+04
5.298860e+02 2.231345e-19 9.971767e+03
5.405075e+02 7.337643e-20 9.416995e+03
5.513420e+02 2.362805e-20 8.878932e+03
5.623936e+02 7.440049e-21 8.358374e+03
5.736667e+02 2.293698e-21 7.889659e+03
5.851658e+02 6.910195e-22 7.448896e+03
5.968954e+02 2.034140e-22 7.028945e+03
6.088601e+02 5.851575e-23 6.619843e+03
6.210647e+02 1.643924e-23 6.245380e+03
6.335139e+02 4.501408e-24 5.891811e+03
6.462126e+02 1.202457e-24 5.557981e+03
6.591659e+02 3.127753e-25 5.242799e+03
6.723788e+02 7.931971e-26 4.945234e+03
6.858566e+02 1.958822e-26 4.662903e+03
6.996046e+02 4.715004e-27 4.396225e+03
7.136281e+02 1.104082e-27 4.143982e+03
7.279327e+02 2.511152e-28 3.906543e+03
7.425240e+02 5.543268e-29 3.687244e+03
7.574079e+02 1.188771e-29 3.475076e+03
7.725901e+02 2.474587e-30 3.281599e+03
7.880766e+02 4.999360e-31 3.094564e+03
8.038735e+02 9.805717e-32 2.914485e+03
8.199871e+02 1.861115e-32 2.740051e+03
8.364237e+02 3.419771e-33 2.585067e+03
8.531897e+02 6.077152e-34 2.438300e+03
8.702918e+02 1.045821e-34 2.301297e+03
8.877368e+02 1.736998e-35 2.169233e+03
9.055314e+02 2.781671e-36 2.039729e+03
9.236827e+02 4.301311e-37 1.917819e+03
9.421978e+02 6.424914e-38 1.803563e+03
9.610841e+02 9.258990e-39 1.700291e+03
9.803490e+02 1.284714e-39 1.604394e+03
1.000000e+03 1.710116e-40 1.509785e+03
