# AUG 1972 GLE#24 - Phi_omni (spherical geometry) - 68% CL
# Energy(MeV) Phi16(cm^-2*MeV^-1) Phi84(cm^-2*MeV^-1)
2.539859e+02 7.226776e+04 1.045031e+05
2.575263e+02 6.694746e+04 9.718753e+04
2.611161e+02 6.190552e+04 9.038366e+04
2.647559e+02 5.735007e+04 8.408431e+04
2.684465e+02 5.314468e+04 7.828933e+04
2.721885e+02 4.923806e+04 7.291257e+04
2.759826e+02 4.564222e+04 6.783679e+04
2.798297e+02 4.229005e+04 6.306625e+04
2.837304e+02 3.914324e+04 5.865487e+04
2.876854e+02 3.624682e+04 5.453264e+04
2.916956e+02 3.355041e+04 5.067405e+04
2.957617e+02 3.106724e+04 4.712947e+04
2.998844e+02 2.873361e+04 4.382548e+04
3.040646e+02 2.657489e+04 4.073525e+04
3.083031e+02 2.459955e+04 3.784220e+04
3.126007e+02 2.276285e+04 3.511618e+04
3.169582e+02 2.106011e+04 3.263195e+04
3.213764e+02 1.947782e+04 3.033080e+04
3.258562e+02 1.802266e+04 2.818161e+04
3.303985e+02 1.668171e+04 2.618757e+04
3.350041e+02 1.542557e+04 2.435624e+04
3.396739e+02 1.425180e+04 2.264798e+04
3.444087e+02 1.319206e+04 2.104834e+04
3.492096e+02 1.220101e+04 1.954553e+04
3.540774e+02 1.128755e+04 1.818420e+04
3.590130e+02 1.042042e+04 1.690711e+04
3.640175e+02 9.630369e+03 1.572220e+04
3.690917e+02 8.912505e+03 1.461742e+04
3.742366e+02 8.236073e+03 1.356957e+04
3.794533e+02 7.608375e+03 1.261721e+04
3.847427e+02 7.031874e+03 1.170955e+04
3.901058e+02 6.493681e+03 1.087750e+04
3.955436e+02 5.992589e+03 1.009931e+04
4.010573e+02 5.536679e+03 9.377014e+03
4.066478e+02 5.117017e+03 8.703792e+03
4.123163e+02 4.716967e+03 8.078872e+03
4.180637e+02 4.348493e+03 7.491453e+03
4.238913e+02 4.013619e+03 6.944137e+03
4.298001e+02 3.706789e+03 6.441511e+03
4.357913e+02 3.421840e+03 5.984316e+03
4.418660e+02 3.159396e+03 5.550978e+03
4.480254e+02 2.915982e+03 5.149088e+03
4.542706e+02 2.686236e+03 4.780232e+03
4.606029e+02 2.479846e+03 4.437533e+03
4.670234e+02 2.287705e+03 4.122850e+03
4.735335e+02 2.107798e+03 3.828692e+03
4.801343e+02 1.945189e+03 3.550674e+03
4.868271e+02 1.792799e+03 3.290123e+03
4.936132e+02 1.652602e+03 3.044227e+03
5.004939e+02 1.525419e+03 2.825422e+03
5.074705e+02 1.404699e+03 2.618595e+03
5.145444e+02 1.293581e+03 2.423296e+03
5.217169e+02 1.192535e+03 2.245918e+03
5.289893e+02 1.099583e+03 2.082028e+03
5.363631e+02 1.013282e+03 1.931245e+03
5.438397e+02 9.336949e+02 1.790451e+03
5.514206e+02 8.590501e+02 1.656879e+03
5.591071e+02 7.910412e+02 1.532936e+03
5.669007e+02 7.293175e+02 1.419823e+03
5.748030e+02 6.723169e+02 1.315885e+03
5.828155e+02 6.183685e+02 1.218343e+03
5.909396e+02 5.689266e+02 1.128061e+03
5.991770e+02 5.234115e+02 1.046370e+03
6.075292e+02 4.820330e+02 9.685713e+02
6.159978e+02 4.428174e+02 8.956218e+02
6.245845e+02 4.071115e+02 8.278369e+02
6.332908e+02 3.742226e+02 7.665900e+02
6.421186e+02 3.439177e+02 7.095411e+02
6.510694e+02 3.162622e+02 6.567212e+02
6.601449e+02 2.907080e+02 6.086132e+02
6.693470e+02 2.671164e+02 5.624863e+02
6.786773e+02 2.454802e+02 5.210282e+02
6.881377e+02 2.256173e+02 4.825999e+02
6.977300e+02 2.071810e+02 4.465981e+02
7.074559e+02 1.901369e+02 4.131541e+02
7.173175e+02 1.746138e+02 3.825368e+02
7.273165e+02 1.602822e+02 3.536327e+02
7.374549e+02 1.471593e+02 3.267838e+02
7.477346e+02 1.352443e+02 3.019033e+02
7.581576e+02 1.240827e+02 2.791455e+02
7.687260e+02 1.139791e+02 2.577056e+02
7.794416e+02 1.046486e+02 2.381690e+02
7.903066e+02 9.608441e+01 2.202796e+02
8.013230e+02 8.814057e+01 2.036034e+02
8.124930e+02 8.073468e+01 1.880452e+02
8.238187e+02 7.408190e+01 1.736507e+02
8.353023e+02 6.790526e+01 1.603288e+02
8.469460e+02 6.230582e+01 1.479779e+02
8.587519e+02 5.706108e+01 1.365755e+02
8.707225e+02 5.225771e+01 1.260412e+02
8.828599e+02 4.783421e+01 1.162557e+02
8.951665e+02 4.382539e+01 1.072992e+02
9.076446e+02 4.010302e+01 9.903893e+01
9.202967e+02 3.674068e+01 9.124155e+01
9.331251e+02 3.362805e+01 8.414029e+01
9.461324e+02 3.072723e+01 7.750425e+01
9.593209e+02 2.810444e+01 7.145849e+01
9.726934e+02 2.570031e+01 6.585497e+01
9.862522e+02 2.348469e+01 6.070942e+01
1.000000e+03 2.145395e+01 5.593391e+01
