Energy(MeV) Incoming Spectral Fluence(MeV-1 cm-2)   Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03  0.0000e+00	1.1308e+07
9.3732e+01	1.4804e+06	1.0368e+06
9.7264e+01	1.2898e+06	9.2292e+05
1.0093e+02	1.1237e+06	8.2028e+05
1.0473e+02	9.7898e+05	7.2777e+05
1.0868e+02	8.5291e+05	6.4504e+05
1.1277e+02	7.4308e+05	5.7118e+05
1.1702e+02	6.4739e+05	5.0532e+05
1.2143e+02	5.6403e+05	4.4668e+05
1.2601e+02	4.9139e+05	3.9452e+05
1.3076e+02	4.2812e+05	3.4818e+05
1.3568e+02	3.7299e+05	3.0707e+05
1.4080e+02	3.2496e+05	2.7062e+05
1.4610e+02	2.8311e+05	2.3850e+05
1.5161e+02	2.4666e+05	2.1011e+05
1.5732e+02	2.1490e+05	1.8476e+05
1.6325e+02	1.8722e+05	1.6238e+05
1.6940e+02	1.6312e+05	1.4264e+05
1.7578e+02	1.4211e+05	1.2525e+05
1.8241e+02	1.2381e+05	1.0993e+05
1.8928e+02	1.0787e+05	9.6437e+04
1.9641e+02	9.3981e+04	8.4598e+04
2.0382e+02	8.1880e+04	7.4202e+04
2.1150e+02	7.1337e+04	6.5011e+04
2.1947e+02	6.2151e+04	5.6940e+04
2.2774e+02	5.4149e+04	4.9857e+04
2.3632e+02	4.7177e+04	4.3643e+04
2.4522e+02	4.1102e+04	3.8195e+04
2.5446e+02	3.5810e+04	3.3436e+04
2.6405e+02	3.1199e+04	2.9242e+04
2.7400e+02	2.7182e+04	2.5570e+04
2.8433e+02	2.3682e+04	2.2354e+04
2.9504e+02	2.0633e+04	1.9539e+04
3.0616e+02	1.7976e+04	1.7082e+04
3.1769e+02	1.5662e+04	1.4924e+04
3.2966e+02	1.3645e+04	1.3037e+04
3.4209e+02	1.1889e+04	1.1387e+04
3.5498e+02	1.0358e+04	9.9473e+03
3.6835e+02	9.0244e+03	8.6853e+03
3.8223e+02	7.8625e+03	7.5826e+03
3.9664e+02	6.8502e+03	6.6195e+03
4.1158e+02	5.9683e+03	5.7788e+03
4.2709e+02	5.1999e+03	5.0433e+03
4.4319e+02	4.5304e+03	4.4011e+03
4.5989e+02	3.9472e+03	3.8410e+03
4.7722e+02	3.4390e+03	3.3511e+03
4.9520e+02	2.9963e+03	2.9236e+03
5.1386e+02	2.6105e+03	2.5508e+03
5.3322e+02	2.2744e+03	2.2250e+03
5.5331e+02	1.9816e+03	1.9410e+03
5.7416e+02	1.7265e+03	1.6928e+03
5.9580e+02	1.5043e+03	1.4763e+03
6.1825e+02	1.3106e+03	1.2876e+03
6.4155e+02	1.1419e+03	1.1228e+03
6.6572e+02	9.9489e+02	9.7910e+02
