Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
7.3020e+00	4.4210e+01	4.4210e+01	7.0849e-09
7.5000e+00	4.3320e+01	4.3320e+01	6.9423e-09
7.5770e+00	4.2990e+01	4.2990e+01	6.8894e-09
7.8630e+00	4.1800e+01	4.1800e+01	6.6987e-09
8.0000e+00	4.1250e+01	4.1250e+01	6.6106e-09
8.1590e+00	4.0640e+01	4.0640e+01	6.5128e-09
8.4670e+00	3.9510e+01	3.9510e+01	6.3317e-09
8.5000e+00	3.9400e+01	3.9400e+01	6.3141e-09
8.7860e+00	3.8420e+01	3.8420e+01	6.1571e-09
9.0000e+00	3.7710e+01	3.7710e+01	6.0433e-09
9.1170e+00	3.7350e+01	3.7350e+01	5.9856e-09
9.4600e+00	3.6300e+01	3.6300e+01	5.8173e-09
9.5000e+00	3.6190e+01	3.6190e+01	5.7997e-09
9.8170e+00	3.5290e+01	3.5290e+01	5.6554e-09
1.0000e+01	3.4790e+01	3.4790e+01	5.5753e-09
1.0190e+01	3.4300e+01	3.4300e+01	5.4968e-09
1.0570e+01	3.3340e+01	3.3340e+01	5.3429e-09
1.0970e+01	3.2400e+01	3.2400e+01	5.1923e-09
1.1380e+01	3.1490e+01	3.1490e+01	5.0465e-09
1.1810e+01	3.0600e+01	3.0600e+01	4.9038e-09
1.2260e+01	2.9740e+01	2.9740e+01	4.7660e-09
1.2720e+01	2.8900e+01	2.8900e+01	4.6314e-09
1.3200e+01	2.8080e+01	2.8080e+01	4.5000e-09
1.3690e+01	2.7290e+01	2.7290e+01	4.3734e-09
1.4210e+01	2.6510e+01	2.6510e+01	4.2484e-09
1.4750e+01	2.5760e+01	2.5760e+01	4.1282e-09
1.5000e+01	2.5420e+01	2.5420e+01	4.0737e-09
1.5300e+01	2.5030e+01	2.5030e+01	4.0112e-09
1.5880e+01	2.4310e+01	2.4310e+01	3.8958e-09
1.6480e+01	2.3620e+01	2.3620e+01	3.7853e-09
1.7100e+01	2.2950e+01	2.2950e+01	3.6779e-09
1.7740e+01	2.2290e+01	2.2290e+01	3.5721e-09
1.8410e+01	2.1660e+01	2.1660e+01	3.4712e-09
1.9100e+01	2.1040e+01	2.1040e+01	3.3718e-09
1.9820e+01	2.0440e+01	2.0440e+01	3.2756e-09
2.0000e+01	2.0290e+01	2.0290e+01	3.2516e-09
2.0570e+01	1.9850e+01	1.9850e+01	3.1811e-09
2.1350e+01	1.9280e+01	1.9280e+01	3.0897e-09
2.2150e+01	1.8730e+01	1.8730e+01	3.0016e-09
2.2990e+01	1.8190e+01	1.8190e+01	2.9151e-09
2.3850e+01	1.7670e+01	1.7670e+01	2.8317e-09
2.4750e+01	1.7170e+01	1.7170e+01	2.7516e-09
2.5000e+01	1.7030e+01	1.7030e+01	2.7292e-09
2.5680e+01	1.6670e+01	1.6670e+01	2.6715e-09
2.6650e+01	1.6200e+01	1.6200e+01	2.5962e-09
2.7660e+01	1.5730e+01	1.5730e+01	2.5208e-09
2.8700e+01	1.5280e+01	1.5280e+01	2.4487e-09
2.9780e+01	1.4840e+01	1.4840e+01	2.3782e-09
3.0000e+01	1.4760e+01	1.4760e+01	2.3654e-09
3.0900e+01	1.4420e+01	1.4420e+01	2.3109e-09
3.2060e+01	1.4000e+01	1.4000e+01	2.2436e-09
3.3270e+01	1.3600e+01	1.3600e+01	2.1795e-09
3.4530e+01	1.3210e+01	1.3210e+01	2.1170e-09
3.5000e+01	1.3070e+01	1.3070e+01	2.0946e-09
3.5830e+01	1.2830e+01	1.2830e+01	2.0561e-09
3.7180e+01	1.2470e+01	1.2470e+01	1.9984e-09
3.8580e+01	1.2110e+01	1.2110e+01	1.9407e-09
4.0000e+01	1.1770e+01	1.1770e+01	1.8862e-09
4.0030e+01	1.1770e+01	1.1770e+01	1.8862e-09
4.1540e+01	1.1430e+01	1.1430e+01	1.8317e-09
4.3110e+01	1.1110e+01	1.1110e+01	1.7804e-09
4.4730e+01	1.0790e+01	1.0790e+01	1.7292e-09
4.5000e+01	1.0740e+01	1.0740e+01	1.7212e-09
4.6420e+01	1.0480e+01	1.0480e+01	1.6795e-09
4.8170e+01	1.0190e+01	1.0190e+01	1.6330e-09
4.9980e+01	9.8980e+00	9.8980e+00	1.5862e-09
5.0000e+01	9.8950e+00	9.8950e+00	1.5857e-09
5.1860e+01	9.6180e+00	9.6180e+00	1.5413e-09
5.3820e+01	9.3470e+00	9.3470e+00	1.4979e-09
5.5000e+01	9.1910e+00	9.1910e+00	1.4729e-09
5.5850e+01	9.0840e+00	9.0840e+00	1.4558e-09
5.7950e+01	8.8280e+00	8.8280e+00	1.4147e-09
6.0000e+01	8.5960e+00	8.5960e+00	1.3776e-09
6.0130e+01	8.5810e+00	8.5810e+00	1.3752e-09
6.2400e+01	8.3410e+00	8.3410e+00	1.3367e-09
6.4750e+01	8.1080e+00	8.1080e+00	1.2994e-09
6.5000e+01	8.0850e+00	8.0850e+00	1.2957e-09
6.7190e+01	7.8830e+00	7.8830e+00	1.2633e-09
6.9720e+01	7.6640e+00	7.6640e+00	1.2282e-09
7.0000e+01	7.6410e+00	7.6410e+00	1.2245e-09
7.2350e+01	7.4520e+00	7.4520e+00	1.1942e-09
7.5000e+01	7.2530e+00	7.2530e+00	1.1623e-09
7.5080e+01	7.2470e+00	7.2470e+00	1.1614e-09
7.7910e+01	7.0480e+00	7.0480e+00	1.1295e-09
8.0000e+01	6.9090e+00	6.9090e+00	1.1072e-09
8.0840e+01	6.8550e+00	6.8550e+00	1.0986e-09
8.3890e+01	6.6680e+00	6.6680e+00	1.0686e-09
8.5000e+01	6.6030e+00	6.6030e+00	1.0582e-09
8.7050e+01	6.4870e+00	6.4870e+00	1.0396e-09
9.0000e+01	6.3280e+00	6.3280e+00	1.0141e-09
9.0330e+01	6.3110e+00	6.3110e+00	1.0114e-09
9.3730e+01	6.1410e+00	6.1410e+00	9.8413e-10
