# E(MeV) Fluence(4Pi)
2.504336e+02 5.607853e+03
2.549849e+02 5.330588e+03
2.596189e+02 5.053052e+03
2.643371e+02 4.790609e+03
2.691410e+02 4.548347e+03
2.740323e+02 4.319259e+03
2.790124e+02 4.101792e+03
2.840831e+02 3.899313e+03
2.892459e+02 3.705535e+03
2.945025e+02 3.518195e+03
2.998547e+02 3.341300e+03
3.053041e+02 3.172435e+03
3.108526e+02 3.007758e+03
3.165019e+02 2.859296e+03
3.222538e+02 2.710567e+03
3.281104e+02 2.570060e+03
3.340733e+02 2.436876e+03
3.401446e+02 2.311607e+03
3.463262e+02 2.193653e+03
3.526202e+02 2.082426e+03
3.590286e+02 1.976806e+03
3.655534e+02 1.873787e+03
3.721969e+02 1.775892e+03
3.789610e+02 1.685066e+03
3.858481e+02 1.598851e+03
3.928603e+02 1.517243e+03
4.000000e+02 1.440008e+03
