# Energy(MeV) Phi_16_Spherical Phi_84_Spherical
1.543038e+02 2.685750e+05 6.695476e+05
1.564548e+02 2.582774e+05 6.470233e+05
1.586357e+02 2.478700e+05 6.258349e+05
1.608469e+02 2.379514e+05 6.050256e+05
1.630891e+02 2.286249e+05 5.855400e+05
1.653624e+02 2.192215e+05 5.666696e+05
1.676675e+02 2.107859e+05 5.483173e+05
1.700047e+02 2.022655e+05 5.304869e+05
1.723745e+02 1.940067e+05 5.132374e+05
1.747773e+02 1.859078e+05 4.962544e+05
1.772136e+02 1.783111e+05 4.795201e+05
1.796838e+02 1.710794e+05 4.633509e+05
1.821885e+02 1.642562e+05 4.479777e+05
1.847281e+02 1.573684e+05 4.330163e+05
1.873032e+02 1.509691e+05 4.184828e+05
1.899141e+02 1.449667e+05 4.044378e+05
1.925614e+02 1.392535e+05 3.908651e+05
1.952456e+02 1.337947e+05 3.777486e+05
1.979672e+02 1.285119e+05 3.650731e+05
2.007267e+02 1.231987e+05 3.537033e+05
2.035248e+02 1.181751e+05 3.430964e+05
2.063618e+02 1.131346e+05 3.317834e+05
2.092383e+02 1.083858e+05 3.201816e+05
2.121550e+02 1.038801e+05 3.089863e+05
2.151123e+02 9.957240e+04 2.981832e+05
2.181109e+02 9.548082e+04 2.880901e+05
2.211512e+02 9.167480e+04 2.785305e+05
2.242340e+02 8.782826e+04 2.692886e+05
2.273597e+02 8.433803e+04 2.603539e+05
2.305289e+02 8.089072e+04 2.519360e+05
2.337424e+02 7.780236e+04 2.440181e+05
2.370006e+02 7.466506e+04 2.359119e+05
2.403043e+02 7.155119e+04 2.280554e+05
2.436540e+02 6.868717e+04 2.206049e+05
2.470504e+02 6.589774e+04 2.133981e+05
2.504942e+02 6.311161e+04 2.063003e+05
2.539859e+02 6.057243e+04 1.993395e+05
2.575263e+02 5.817870e+04 1.926139e+05
2.611161e+02 5.588062e+04 1.861156e+05
2.647559e+02 5.359210e+04 1.801347e+05
2.684465e+02 5.159944e+04 1.743725e+05
2.721885e+02 4.955878e+04 1.688024e+05
2.759826e+02 4.750191e+04 1.634101e+05
2.798297e+02 4.565427e+04 1.581158e+05
2.837304e+02 4.388564e+04 1.530833e+05
