# Energy(MeV) Phi16_Spherical Phi84_Spherical
1.480075e+01 2.031244e+06 1.789363e+07
1.503009e+01 1.948458e+06 1.718581e+07
1.526298e+01 1.869045e+06 1.649757e+07
1.549948e+01 1.792870e+06 1.582596e+07
1.573965e+01 1.719801e+06 1.519252e+07
1.598353e+01 1.649710e+06 1.457732e+07
1.623120e+01 1.582476e+06 1.398176e+07
1.648270e+01 1.517982e+06 1.340736e+07
1.673810e+01 1.456118e+06 1.286804e+07
1.699746e+01 1.396775e+06 1.235116e+07
1.726083e+01 1.339852e+06 1.184797e+07
1.752829e+01 1.285248e+06 1.136653e+07
1.779989e+01 1.232871e+06 1.090141e+07
1.807570e+01 1.182628e+06 1.045198e+07
1.835578e+01 1.134433e+06 1.001485e+07
1.864021e+01 1.088203e+06 9.608436e+06
1.892904e+01 1.043857e+06 9.220130e+06
1.922234e+01 1.001319e+06 8.831925e+06
1.952019e+01 9.605139e+05 8.461439e+06
1.982266e+01 9.213724e+05 8.111359e+06
2.012981e+01 8.838263e+05 7.781133e+06
2.044172e+01 8.478105e+05 7.463525e+06
2.075847e+01 8.132626e+05 7.150764e+06
2.108012e+01 7.801228e+05 6.851015e+06
2.140676e+01 7.483337e+05 6.570351e+06
2.173846e+01 7.178403e+05 6.301050e+06
2.207529e+01 6.885896e+05 6.038096e+06
2.241735e+01 6.605310e+05 5.782394e+06
2.276471e+01 6.336161e+05 5.540129e+06
2.311745e+01 6.077980e+05 5.309977e+06
2.347565e+01 5.830322e+05 5.092248e+06
2.383941e+01 5.592756e+05 4.882413e+06
2.420880e+01 5.364873e+05 4.680232e+06
2.458392e+01 5.146277e+05 4.485565e+06
2.496485e+01 4.936589e+05 4.300759e+06
2.535168e+01 4.735447e+05 4.119201e+06
2.574450e+01 4.542502e+05 3.946136e+06
2.614341e+01 4.357421e+05 3.783346e+06
2.654850e+01 4.179881e+05 3.625197e+06
2.695987e+01 4.009577e+05 3.470336e+06
2.737762e+01 3.846213e+05 3.321034e+06
2.780183e+01 3.689506e+05 3.179498e+06
2.823262e+01 3.539185e+05 3.044477e+06
2.867009e+01 3.394990e+05 2.914636e+06
2.911433e+01 3.256671e+05 2.791594e+06
2.956546e+01 3.123988e+05 2.672868e+06
3.002358e+01 2.996712e+05 2.556291e+06
3.048879e+01 2.874623e+05 2.445794e+06
3.096122e+01 2.757508e+05 2.340022e+06
3.144096e+01 2.640357e+05 2.241800e+06
3.192814e+01 2.521729e+05 2.146392e+06
3.242287e+01 2.408434e+05 2.055673e+06
3.292526e+01 2.300233e+05 1.969220e+06
3.343544e+01 2.196896e+05 1.886281e+06
3.395352e+01 2.098205e+05 1.803591e+06
3.447963e+01 2.003950e+05 1.724558e+06
3.501389e+01 1.913931e+05 1.649248e+06
3.555643e+01 1.827960e+05 1.579131e+06
3.610738e+01 1.745852e+05 1.510997e+06
3.666687e+01 1.667435e+05 1.444949e+06
3.723502e+01 1.592570e+05 1.380826e+06
3.781198e+01 1.521230e+05 1.319766e+06
3.839787e+01 1.453088e+05 1.261394e+06
3.899285e+01 1.388002e+05 1.206242e+06
3.959704e+01 1.325834e+05 1.153206e+06
4.021060e+01 1.266454e+05 1.102761e+06
4.083367e+01 1.209778e+05 1.055359e+06
4.146638e+01 1.155651e+05 1.008786e+06
4.210891e+01 1.103948e+05 9.648374e+05
4.276138e+01 1.054562e+05 9.223217e+05
4.342397e+01 1.007388e+05 8.818309e+05
4.409683e+01 9.623263e+04 8.428704e+05
4.478011e+01 9.192830e+04 8.064288e+05
4.547398e+01 8.781672e+04 7.718699e+05
4.617860e+01 8.388927e+04 7.372809e+05
4.689414e+01 8.013769e+04 7.047970e+05
4.762076e+01 7.655408e+04 6.742662e+05
4.835865e+01 7.313093e+04 6.443188e+05
4.910796e+01 6.986104e+04 6.160204e+05
4.986889e+01 6.673754e+04 5.881377e+05
5.064161e+01 6.375387e+04 5.622800e+05
5.142630e+01 6.090375e+04 5.373289e+05
5.222315e+01 5.830949e+04 5.140230e+05
5.303235e+01 5.589960e+04 4.909284e+05
5.385409e+01 5.360265e+04 4.696598e+05
5.468856e+01 5.140008e+04 4.489479e+05
5.553596e+01 4.928802e+04 4.284456e+05
5.639649e+01 4.726275e+04 4.093330e+05
5.727036e+01 4.532069e+04 3.913741e+05
5.815776e+01 4.345844e+04 3.742857e+05
5.905892e+01 4.167271e+04 3.572685e+05
5.997404e+01 3.996035e+04 3.417878e+05
6.090333e+01 3.831836e+04 3.262683e+05
6.184703e+01 3.674384e+04 3.118016e+05
6.280535e+01 3.523401e+04 2.976356e+05
6.377852e+01 3.378623e+04 2.840538e+05
6.476677e+01 3.239794e+04 2.714714e+05
6.577033e+01 3.106669e+04 2.593460e+05
6.678945e+01 2.979015e+04 2.481120e+05
6.782435e+01 2.856605e+04 2.368260e+05
6.887529e+01 2.739226e+04 2.262812e+05
6.994251e+01 2.626670e+04 2.160679e+05
