Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
4.7490e+01	1.0300e+01	1.0300e+01	1.6506e-09
4.9090e+01	1.0040e+01	1.0040e+01	1.6090e-09
5.0000e+01	9.8950e+00	9.8950e+00	1.5857e-09
5.0740e+01	9.7820e+00	9.7820e+00	1.5676e-09
5.2450e+01	9.5340e+00	9.5340e+00	1.5279e-09
5.4220e+01	9.2930e+00	9.2930e+00	1.4893e-09
5.5000e+01	9.1910e+00	9.1910e+00	1.4729e-09
5.6040e+01	9.0590e+00	9.0590e+00	1.4518e-09
5.7930e+01	8.8310e+00	8.8310e+00	1.4152e-09
5.9880e+01	8.6090e+00	8.6090e+00	1.3796e-09
6.0000e+01	8.5960e+00	8.5960e+00	1.3776e-09
6.1900e+01	8.3930e+00	8.3930e+00	1.3450e-09
6.3980e+01	8.1830e+00	8.1830e+00	1.3114e-09
6.5000e+01	8.0850e+00	8.0850e+00	1.2957e-09
6.6140e+01	7.9780e+00	7.9780e+00	1.2785e-09
6.8370e+01	7.7800e+00	7.7800e+00	1.2468e-09
7.0000e+01	7.6410e+00	7.6410e+00	1.2245e-09
7.0670e+01	7.5860e+00	7.5860e+00	1.2157e-09
7.3050e+01	7.3980e+00	7.3980e+00	1.1856e-09
7.5000e+01	7.2530e+00	7.2530e+00	1.1623e-09
7.5510e+01	7.2160e+00	7.2160e+00	1.1564e-09
7.8050e+01	7.0380e+00	7.0380e+00	1.1279e-09
8.0000e+01	6.9090e+00	6.9090e+00	1.1072e-09
8.0680e+01	6.8650e+00	6.8650e+00	1.1002e-09
8.3400e+01	6.6970e+00	6.6970e+00	1.0732e-09
8.5000e+01	6.6030e+00	6.6030e+00	1.0582e-09
8.6210e+01	6.5340e+00	6.5340e+00	1.0471e-09
8.9110e+01	6.3750e+00	6.3750e+00	1.0216e-09
9.0000e+01	6.3280e+00	6.3280e+00	1.0141e-09
9.2110e+01	6.2210e+00	6.2210e+00	9.9696e-10
9.5000e+01	6.0810e+00	6.0810e+00	9.7452e-10
9.5210e+01	6.0710e+00	6.0710e+00	9.7292e-10
9.8420e+01	5.9250e+00	5.9250e+00	9.4952e-10
1.0000e+02	5.8570e+00	5.8570e+00	9.3862e-10
1.0170e+02	5.7840e+00	5.7840e+00	9.2692e-10
1.0520e+02	5.6460e+00	5.6460e+00	9.0481e-10
1.0870e+02	5.5120e+00	5.5120e+00	8.8333e-10
1.1240e+02	5.3830e+00	5.3830e+00	8.6266e-10
1.1610e+02	5.2560e+00	5.2560e+00	8.4231e-10
1.2010e+02	5.1340e+00	5.1340e+00	8.2276e-10
1.2410e+02	5.0150e+00	5.0150e+00	8.0369e-10
1.2830e+02	4.8990e+00	4.8990e+00	7.8510e-10
1.3260e+02	4.7860e+00	4.7860e+00	7.6699e-10
1.3710e+02	4.6780e+00	4.6780e+00	7.4968e-10
1.4170e+02	4.5710e+00	4.5710e+00	7.3253e-10
1.4650e+02	4.4690e+00	4.4690e+00	7.1619e-10
1.5000e+02	4.3960e+00	4.3960e+00	7.0449e-10
1.5140e+02	4.3690e+00	4.3690e+00	7.0016e-10
