# Energy(MeV) Phi16_Planare Phi84_Planare
4.627332e+01 1.362052e+05 1.836687e+05
4.691835e+01 1.309496e+05 1.767085e+05
4.757236e+01 1.259096e+05 1.700079e+05
4.823549e+01 1.210758e+05 1.635435e+05
4.890787e+01 1.164325e+05 1.573085e+05
4.958962e+01 1.119666e+05 1.514207e+05
5.028087e+01 1.076633e+05 1.457745e+05
5.098176e+01 1.033783e+05 1.403068e+05
5.169242e+01 9.923677e+04 1.350682e+05
5.241298e+01 9.535040e+04 1.299179e+05
5.314359e+01 9.159742e+04 1.250489e+05
5.388438e+01 8.804137e+04 1.204276e+05
5.463550e+01 8.461781e+04 1.159373e+05
5.539709e+01 8.118784e+04 1.115023e+05
5.616930e+01 7.797391e+04 1.072712e+05
5.695227e+01 7.492686e+04 1.032137e+05
5.774615e+01 7.198055e+04 9.939361e+04
5.855110e+01 6.920469e+04 9.565572e+04
5.936727e+01 6.637190e+04 9.200108e+04
6.019482e+01 6.380684e+04 8.846796e+04
6.103390e+01 6.133556e+04 8.509991e+04
6.188468e+01 5.896694e+04 8.192161e+04
6.274732e+01 5.669236e+04 7.885828e+04
6.362198e+01 5.450643e+04 7.584923e+04
6.450884e+01 5.241290e+04 7.298690e+04
6.540806e+01 5.027235e+04 7.023607e+04
6.631981e+01 4.834442e+04 6.757996e+04
6.724427e+01 4.642894e+04 6.503309e+04
6.818162e+01 4.462819e+04 6.255659e+04
6.913204e+01 4.285897e+04 6.015951e+04
7.009570e+01 4.115952e+04 5.785921e+04
7.107280e+01 3.956152e+04 5.561783e+04
7.206351e+01 3.801523e+04 5.348333e+04
7.306804e+01 3.645432e+04 5.141805e+04
7.408657e+01 3.503146e+04 4.944485e+04
7.511929e+01 3.366151e+04 4.750123e+04
7.616642e+01 3.234842e+04 4.564461e+04
7.722814e+01 3.109441e+04 4.389244e+04
7.830465e+01 2.986388e+04 4.223384e+04
7.939618e+01 2.868081e+04 4.061477e+04
8.050292e+01 2.756052e+04 3.908513e+04
8.162509e+01 2.647828e+04 3.752460e+04
8.276289e+01 2.542458e+04 3.606360e+04
8.391656e+01 2.443040e+04 3.468060e+04
8.508632e+01 2.347067e+04 3.330627e+04
8.627237e+01 2.250807e+04 3.203567e+04
8.747496e+01 2.161783e+04 3.084433e+04
8.869432e+01 2.077238e+04 2.962035e+04
8.993067e+01 1.991080e+04 2.846193e+04
9.118425e+01 1.911594e+04 2.738626e+04
9.245531e+01 1.837166e+04 2.634729e+04
9.374409e+01 1.762939e+04 2.534687e+04
9.505083e+01 1.689660e+04 2.437900e+04
9.637579e+01 1.618775e+04 2.342230e+04
9.771921e+01 1.553401e+04 2.248391e+04
9.908137e+01 1.487050e+04 2.158135e+04
1.004625e+02 1.428834e+04 2.072609e+04
1.018629e+02 1.369651e+04 1.989209e+04
1.032828e+02 1.314424e+04 1.911605e+04
1.047225e+02 1.262121e+04 1.837648e+04
1.061823e+02 1.211098e+04 1.763954e+04
1.076624e+02 1.161189e+04 1.694299e+04
1.091632e+02 1.115455e+04 1.628089e+04
1.106848e+02 1.071847e+04 1.565652e+04
1.122277e+02 1.028834e+04 1.503584e+04
1.137921e+02 9.845742e+03 1.444649e+04
1.153783e+02 9.452336e+03 1.385186e+04
1.169866e+02 9.070978e+03 1.331173e+04
1.186174e+02 8.710451e+03 1.279317e+04
1.202708e+02 8.351728e+03 1.228321e+04
1.219473e+02 7.996240e+03 1.179273e+04
1.236472e+02 7.652146e+03 1.132673e+04
1.253708e+02 7.318696e+03 1.086831e+04
1.271184e+02 6.993395e+03 1.043480e+04
1.288904e+02 6.680907e+03 1.000955e+04
1.306870e+02 6.397256e+03 9.600954e+03
1.325087e+02 6.118973e+03 9.210860e+03
1.343558e+02 5.857536e+03 8.842759e+03
1.362287e+02 5.604105e+03 8.488591e+03
1.381276e+02 5.363471e+03 8.151195e+03
1.400531e+02 5.141261e+03 7.825372e+03
1.420053e+02 4.925628e+03 7.517818e+03
1.439848e+02 4.722208e+03 7.210985e+03
1.459919e+02 4.526264e+03 6.921155e+03
1.480269e+02 4.345466e+03 6.641915e+03
1.500903e+02 4.169138e+03 6.380280e+03
1.521825e+02 4.001531e+03 6.121508e+03
1.543038e+02 3.837478e+03 5.868937e+03
1.564548e+02 3.660769e+03 5.628831e+03
1.586357e+02 3.495826e+03 5.395011e+03
1.608469e+02 3.331848e+03 5.177899e+03
1.630891e+02 3.189839e+03 4.969118e+03
1.653624e+02 3.058286e+03 4.766505e+03
1.676675e+02 2.926723e+03 4.568642e+03
1.700047e+02 2.791256e+03 4.383166e+03
1.723745e+02 2.665518e+03 4.202819e+03
1.747773e+02 2.545994e+03 4.027457e+03
1.772136e+02 2.433191e+03 3.862691e+03
1.796838e+02 2.325365e+03 3.703201e+03
1.821885e+02 2.222976e+03 3.550682e+03
1.847281e+02 2.125965e+03 3.403513e+03
1.873032e+02 2.035592e+03 3.265560e+03
1.899141e+02 1.944345e+03 3.132488e+03
1.925614e+02 1.851209e+03 3.004310e+03
1.952456e+02 1.772166e+03 2.882384e+03
1.979672e+02 1.698843e+03 2.761291e+03
2.007267e+02 1.623305e+03 2.648457e+03
2.035248e+02 1.546879e+03 2.539478e+03
2.063618e+02 1.474234e+03 2.435126e+03
2.092383e+02 1.404781e+03 2.335238e+03
2.121550e+02 1.338388e+03 2.239152e+03
2.151123e+02 1.273882e+03 2.146497e+03
2.181109e+02 1.208831e+03 2.056438e+03
2.211512e+02 1.150764e+03 1.971508e+03
