# Energy(MeV) Phi16_Planare Phi84_Planare
2.170078e+01 5.769357e+05 1.315453e+06
2.213577e+01 5.472846e+05 1.246344e+06
2.257948e+01 5.191485e+05 1.180490e+06
2.303209e+01 4.924501e+05 1.117317e+06
2.349376e+01 4.661003e+05 1.058325e+06
2.396469e+01 4.399104e+05 1.002412e+06
2.444506e+01 4.147350e+05 9.495928e+05
2.493506e+01 3.907542e+05 8.990712e+05
2.543488e+01 3.682598e+05 8.522041e+05
2.594472e+01 3.487816e+05 8.077600e+05
2.646478e+01 3.302159e+05 7.651813e+05
2.699527e+01 3.096172e+05 7.249128e+05
2.753639e+01 2.926178e+05 6.866137e+05
2.808835e+01 2.759648e+05 6.500670e+05
2.865138e+01 2.601483e+05 6.159805e+05
2.922570e+01 2.454107e+05 5.837064e+05
2.981152e+01 2.324305e+05 5.530431e+05
3.040909e+01 2.201275e+05 5.232653e+05
3.101864e+01 2.086597e+05 4.956991e+05
3.164041e+01 1.978615e+05 4.694066e+05
3.227464e+01 1.876168e+05 4.442831e+05
3.292158e+01 1.778974e+05 4.206093e+05
3.358149e+01 1.686766e+05 3.983548e+05
3.425463e+01 1.587747e+05 3.771827e+05
3.494126e+01 1.497520e+05 3.572355e+05
3.564165e+01 1.418169e+05 3.380201e+05
3.635609e+01 1.344378e+05 3.199993e+05
3.708484e+01 1.274812e+05 3.030257e+05
3.782820e+01 1.208996e+05 2.867295e+05
3.858647e+01 1.146518e+05 2.714200e+05
3.935993e+01 1.087209e+05 2.571554e+05
4.014890e+01 1.021067e+05 2.432978e+05
4.095368e+01 9.559324e+04 2.301410e+05
4.177459e+01 9.020541e+04 2.177005e+05
4.261196e+01 8.421051e+04 2.059669e+05
4.346611e+01 7.957524e+04 1.948153e+05
4.433739e+01 7.529048e+04 1.843682e+05
4.522613e+01 7.123148e+04 1.744255e+05
4.613268e+01 6.728134e+04 1.648546e+05
4.705741e+01 6.332743e+04 1.560932e+05
4.800067e+01 5.980695e+04 1.476548e+05
4.896284e+01 5.647642e+04 1.396164e+05
4.994430e+01 5.336885e+04 1.319970e+05
5.094543e+01 4.992109e+04 1.248050e+05
5.196662e+01 4.644226e+04 1.180235e+05
5.300829e+01 4.366228e+04 1.116809e+05
5.407084e+01 4.119446e+04 1.056554e+05
5.515468e+01 3.886181e+04 9.996981e+04
5.626026e+01 3.670459e+04 9.461878e+04
5.738799e+01 3.463608e+04 8.945867e+04
5.853833e+01 3.252275e+04 8.475298e+04
5.971172e+01 3.061917e+04 8.014907e+04
6.090864e+01 2.878555e+04 7.572168e+04
6.212955e+01 2.717787e+04 7.153503e+04
6.337493e+01 2.560208e+04 6.768614e+04
6.464528e+01 2.415162e+04 6.402302e+04
6.594109e+01 2.279151e+04 6.060868e+04
6.726287e+01 2.151096e+04 5.725222e+04
6.861115e+01 2.030162e+04 5.412397e+04
6.998645e+01 1.915958e+04 5.118657e+04
7.138933e+01 1.807222e+04 4.836977e+04
7.282032e+01 1.700954e+04 4.573002e+04
7.428000e+01 1.604109e+04 4.321469e+04
7.576894e+01 1.513780e+04 4.081926e+04
7.728772e+01 1.428487e+04 3.851347e+04
7.883694e+01 1.347951e+04 3.632766e+04
8.041722e+01 1.271909e+04 3.429951e+04
8.202918e+01 1.200112e+04 3.242452e+04
8.367345e+01 1.115509e+04 3.060811e+04
8.535068e+01 1.051214e+04 2.894834e+04
8.706153e+01 9.890566e+03 2.735508e+04
8.880667e+01 9.242931e+03 2.579831e+04
9.058679e+01 8.714859e+03 2.433829e+04
9.240260e+01 8.233285e+03 2.297572e+04
9.425480e+01 7.768432e+03 2.167788e+04
9.614413e+01 7.279783e+03 2.049699e+04
9.807133e+01 6.862606e+03 1.932754e+04
1.000372e+02 6.446058e+03 1.825509e+04
1.020424e+02 5.973344e+03 1.725119e+04
1.040878e+02 5.550012e+03 1.630189e+04
1.061743e+02 5.198701e+03 1.538416e+04
1.083025e+02 4.899130e+03 1.451740e+04
1.104734e+02 4.595647e+03 1.369338e+04
1.126879e+02 4.326078e+03 1.291029e+04
1.149467e+02 4.025232e+03 1.218005e+04
1.172508e+02 3.750472e+03 1.149792e+04
1.196011e+02 3.510408e+03 1.083777e+04
1.219985e+02 3.279179e+03 1.021141e+04
1.244439e+02 3.090179e+03 9.631986e+03
