# E(MeV) Lo68 Hi68
1.400531e+02 1.256637e-29 2.921766e+04
1.420053e+02 1.256637e-29 2.811739e+04
1.439848e+02 1.256637e-29 2.705847e+04
1.459919e+02 1.256637e-29 2.602928e+04
1.480269e+02 1.256637e-29 2.503540e+04
1.500903e+02 1.256637e-29 2.407948e+04
1.521825e+02 1.256637e-29 2.316006e+04
1.543038e+02 1.256637e-29 2.229323e+04
1.564548e+02 1.256637e-29 2.144343e+04
1.586357e+02 1.256637e-29 2.063182e+04
1.608469e+02 1.256637e-29 1.984927e+04
1.630891e+02 1.256637e-29 1.909983e+04
1.653624e+02 1.256637e-29 1.838921e+04
1.676675e+02 1.256637e-29 1.769713e+04
1.700047e+02 1.256637e-29 1.701964e+04
1.723745e+02 1.256637e-29 1.637016e+04
1.747773e+02 1.256637e-29 1.575486e+04
1.772136e+02 1.256637e-29 1.515933e+04
1.796838e+02 1.256637e-29 1.458682e+04
1.821885e+02 1.256637e-29 1.403844e+04
1.847281e+02 1.256637e-29 1.351068e+04
1.873032e+02 1.256637e-29 1.300275e+04
1.899141e+02 1.256637e-29 1.251393e+04
1.925614e+02 1.256637e-29 1.204825e+04
1.952456e+02 1.256637e-29 1.159065e+04
1.979672e+02 1.256637e-29 1.114891e+04
2.007267e+02 1.256637e-29 1.072084e+04
2.035248e+02 1.256637e-29 1.030921e+04
2.063618e+02 1.256637e-29 9.922450e+03
2.092383e+02 1.256637e-29 9.550886e+03
2.121550e+02 1.256637e-29 9.193236e+03
2.151123e+02 1.256637e-29 8.848979e+03
2.181109e+02 1.256637e-29 8.517613e+03
2.211512e+02 1.256637e-29 8.197980e+03
2.242340e+02 1.256637e-29 7.890151e+03
2.273597e+02 1.256637e-29 7.589915e+03
2.305289e+02 1.256637e-29 7.304964e+03
2.337424e+02 1.256637e-29 7.029531e+03
2.370006e+02 1.256637e-29 6.765753e+03
2.403043e+02 1.256637e-29 6.508934e+03
2.436540e+02 1.256637e-29 6.265563e+03
2.470504e+02 1.256637e-29 6.023596e+03
2.504942e+02 1.256637e-29 5.792808e+03
2.539859e+02 1.256637e-29 5.573263e+03
2.575263e+02 1.256637e-29 5.363557e+03
2.611161e+02 1.256637e-29 5.160335e+03
2.647559e+02 1.256637e-29 4.963313e+03
2.684465e+02 1.256637e-29 4.773646e+03
2.721885e+02 1.256637e-29 4.590677e+03
2.759826e+02 1.256637e-29 4.414721e+03
2.798297e+02 1.256637e-29 4.249416e+03
2.837304e+02 1.256637e-29 4.088346e+03
2.876854e+02 1.256637e-29 3.933075e+03
2.916956e+02 1.256637e-29 3.785762e+03
2.957617e+02 1.256637e-29 3.643601e+03
2.998844e+02 1.256637e-29 3.506251e+03
3.040646e+02 1.256637e-29 3.374079e+03
3.083031e+02 1.256637e-29 3.246890e+03
3.126007e+02 1.256637e-29 3.124495e+03
3.169582e+02 1.256637e-29 3.007089e+03
3.213764e+02 1.256637e-29 2.893495e+03
3.258562e+02 1.256637e-29 2.784174e+03
3.303985e+02 1.256637e-29 2.680110e+03
3.350041e+02 1.256637e-29 2.579829e+03
3.396739e+02 1.256637e-29 2.482991e+03
3.444087e+02 1.256637e-29 2.389788e+03
3.492096e+02 1.256637e-29 2.300083e+03
3.540774e+02 1.256637e-29 2.213673e+03
3.590130e+02 1.256637e-29 2.130347e+03
3.640175e+02 1.256637e-29 2.050101e+03
3.690917e+02 1.256637e-29 1.972348e+03
3.742366e+02 1.256637e-29 1.897361e+03
3.794533e+02 1.256637e-29 1.824987e+03
3.847427e+02 1.256637e-29 1.755004e+03
3.901058e+02 1.256637e-29 1.687704e+03
3.955436e+02 1.256637e-29 1.622985e+03
4.010573e+02 1.256637e-29 1.561752e+03
4.066478e+02 1.256637e-29 1.503148e+03
4.123163e+02 1.256637e-29 1.446660e+03
4.180637e+02 1.256637e-29 1.391348e+03
4.238913e+02 1.256637e-29 1.338151e+03
4.298001e+02 1.256637e-29 1.287716e+03
4.357913e+02 1.256637e-29 1.239085e+03
4.418660e+02 1.256637e-29 1.192459e+03
4.480254e+02 1.256637e-29 1.147384e+03
4.542706e+02 1.256637e-29 1.104023e+03
4.606029e+02 1.256637e-29 1.062478e+03
4.670234e+02 1.256637e-29 1.022454e+03
4.735335e+02 1.256637e-29 9.838917e+02
4.801343e+02 1.256637e-29 9.467780e+02
4.868271e+02 1.256637e-29 9.107937e+02
4.936132e+02 1.256637e-29 8.761666e+02
5.004939e+02 1.256637e-29 8.428196e+02
5.074705e+02 1.256637e-29 8.112934e+02
5.145444e+02 1.256637e-29 7.807118e+02
5.217169e+02 1.256637e-29 7.511018e+02
5.289893e+02 1.256637e-29 7.225808e+02
5.363631e+02 1.256637e-29 6.951428e+02
5.438397e+02 1.256637e-29 6.687467e+02
5.514206e+02 1.256637e-29 6.433529e+02
5.591071e+02 1.256637e-29 6.189234e+02
5.669007e+02 1.256637e-29 5.954216e+02
5.748030e+02 1.256637e-29 5.728121e+02
5.828155e+02 1.256637e-29 5.510612e+02
5.909396e+02 1.256637e-29 5.301362e+02
5.991770e+02 1.256637e-29 5.100057e+02
6.075292e+02 1.256637e-29 4.906397e+02
6.159978e+02 1.256637e-29 4.720668e+02
6.245845e+02 1.256637e-29 4.543381e+02
6.332908e+02 1.256637e-29 4.372224e+02
6.421186e+02 1.256637e-29 4.206180e+02
6.510694e+02 1.256637e-29 4.047755e+02
6.601449e+02 1.256637e-29 3.895150e+02
6.693470e+02 1.256637e-29 3.748910e+02
6.786773e+02 1.256637e-29 3.607956e+02
6.881377e+02 1.256637e-29 3.472302e+02
6.977300e+02 1.256637e-29 3.341749e+02
7.074559e+02 1.256637e-29 3.215394e+02
7.173175e+02 1.256637e-29 3.091613e+02
7.273165e+02 1.256637e-29 2.974169e+02
7.374549e+02 1.256637e-29 2.860986e+02
7.477346e+02 1.256637e-29 2.754010e+02
7.581576e+02 1.256637e-29 2.651213e+02
7.687260e+02 1.256637e-29 2.552046e+02
7.794416e+02 1.256637e-29 2.456332e+02
7.903066e+02 1.256637e-29 2.364208e+02
8.013230e+02 1.256637e-29 2.275539e+02
8.124930e+02 1.256637e-29 2.190006e+02
8.238187e+02 1.256637e-29 2.107583e+02
8.353023e+02 1.256637e-29 2.027765e+02
8.469460e+02 1.256637e-29 1.952044e+02
8.587519e+02 1.256637e-29 1.878998e+02
8.707225e+02 1.256637e-29 1.808521e+02
8.828599e+02 1.256637e-29 1.740636e+02
8.951665e+02 1.256637e-29 1.675164e+02
9.076446e+02 1.256637e-29 1.611687e+02
9.202967e+02 1.256637e-29 1.550609e+02
9.331251e+02 1.256637e-29 1.491843e+02
9.461324e+02 1.256637e-29 1.435470e+02
9.593209e+02 1.256637e-29 1.381520e+02
9.726934e+02 1.256637e-29 1.329395e+02
9.862522e+02 1.256637e-29 1.278921e+02
1.000000e+03 1.256637e-29 1.230363e+02
