# Energy(MeV) Fluence_Planar
2.645161e+02 3.491207e+04
2.678876e+02 3.349416e+04
2.713020e+02 3.212511e+04
2.747600e+02 3.080963e+04
2.782620e+02 2.955844e+04
2.818087e+02 2.836347e+04
2.854006e+02 2.722630e+04
2.890383e+02 2.613169e+04
2.927223e+02 2.506035e+04
2.964533e+02 2.403816e+04
3.002318e+02 2.305050e+04
3.040585e+02 2.212288e+04
3.079340e+02 2.122890e+04
3.118588e+02 2.037766e+04
3.158337e+02 1.956265e+04
3.198593e+02 1.877756e+04
3.239362e+02 1.802885e+04
3.280650e+02 1.730240e+04
3.322464e+02 1.659249e+04
3.364812e+02 1.591469e+04
3.407699e+02 1.526624e+04
3.451133e+02 1.464871e+04
3.495121e+02 1.405322e+04
3.539669e+02 1.348975e+04
3.584785e+02 1.294590e+04
3.630476e+02 1.242206e+04
3.676749e+02 1.191873e+04
3.723612e+02 1.143725e+04
3.771073e+02 1.097224e+04
3.819138e+02 1.052620e+04
3.867816e+02 1.009886e+04
3.917114e+02 9.691018e+03
3.967041e+02 9.300704e+03
4.017604e+02 8.925056e+03
4.068812e+02 8.564167e+03
4.120672e+02 8.217738e+03
4.173194e+02 7.884545e+03
4.226384e+02 7.567399e+03
4.280253e+02 7.263010e+03
4.334808e+02 6.969172e+03
4.390059e+02 6.688289e+03
4.446014e+02 6.417426e+03
4.502682e+02 6.156085e+03
4.560072e+02 5.905034e+03
4.618194e+02 5.665867e+03
4.677057e+02 5.435530e+03
4.736670e+02 5.212589e+03
4.797042e+02 4.999248e+03
4.858185e+02 4.795506e+03
4.920106e+02 4.600474e+03
4.982817e+02 4.413597e+03
5.046327e+02 4.235126e+03
5.110646e+02 4.063906e+03
5.175786e+02 3.898256e+03
5.241755e+02 3.738288e+03
5.308566e+02 3.586201e+03
5.376228e+02 3.440263e+03
5.444752e+02 3.300376e+03
5.514150e+02 3.166399e+03
5.584432e+02 3.038665e+03
5.655610e+02 2.916346e+03
5.727696e+02 2.798186e+03
5.800700e+02 2.683804e+03
5.874635e+02 2.574759e+03
5.949511e+02 2.471313e+03
6.025343e+02 2.371789e+03
6.102141e+02 2.275718e+03
6.179917e+02 2.183538e+03
6.258686e+02 2.095049e+03
6.338458e+02 2.010112e+03
6.419246e+02 1.928725e+03
6.501065e+02 1.850790e+03
6.583926e+02 1.775980e+03
6.667844e+02 1.704376e+03
6.752831e+02 1.635618e+03
6.838901e+02 1.569698e+03
6.926068e+02 1.505900e+03
7.014347e+02 1.444791e+03
7.103750e+02 1.386129e+03
7.194293e+02 1.329910e+03
7.285991e+02 1.275971e+03
7.378856e+02 1.224220e+03
7.472906e+02 1.174416e+03
7.568154e+02 1.126637e+03
7.664616e+02 1.080773e+03
7.762308e+02 1.036830e+03
7.861245e+02 9.947428e+02
7.961443e+02 9.546747e+02
8.062918e+02 9.164477e+02
8.165687e+02 8.794506e+02
8.269765e+02 8.438946e+02
8.375170e+02 8.100948e+02
8.481918e+02 7.773612e+02
8.590027e+02 7.457281e+02
8.699514e+02 7.153580e+02
8.810396e+02 6.861957e+02
8.922692e+02 6.581538e+02
9.036419e+02 6.312579e+02
9.151595e+02 6.054867e+02
9.268240e+02 5.807770e+02
9.386371e+02 5.571475e+02
9.506008e+02 5.346842e+02
9.627170e+02 5.130374e+02
9.749876e+02 4.924978e+02
9.874146e+02 4.728128e+02
1.000000e+03 4.537543e+02
