# E(MeV) Lo_CL68 Hi_CL68
1.828536e+01 nan nan
1.849745e+01 nan nan
1.871200e+01 nan nan
1.892904e+01 nan nan
1.914859e+01 nan nan
1.937070e+01 nan nan
1.959538e+01 nan nan
1.982266e+01 nan nan
2.005258e+01 nan nan
2.028517e+01 nan nan
2.052045e+01 nan nan
2.075847e+01 nan nan
2.099924e+01 nan nan
2.124281e+01 nan nan
2.148921e+01 nan nan
2.173846e+01 nan nan
2.199060e+01 nan nan
2.224567e+01 nan nan
2.250369e+01 nan nan
2.276471e+01 nan nan
2.302875e+01 nan nan
2.329586e+01 nan nan
2.356607e+01 nan nan
2.383941e+01 nan nan
2.411592e+01 nan nan
2.439564e+01 nan nan
2.467860e+01 nan nan
2.496485e+01 nan nan
2.525441e+01 nan nan
2.554733e+01 nan nan
2.584365e+01 nan nan
2.614341e+01 nan nan
2.644665e+01 nan nan
2.675340e+01 nan nan
2.706371e+01 nan nan
2.737762e+01 nan nan
2.769517e+01 nan nan
2.801640e+01 nan nan
2.834136e+01 nan nan
2.867009e+01 nan nan
2.900263e+01 nan nan
2.933903e+01 nan nan
2.967933e+01 nan nan
3.002358e+01 nan nan
3.037182e+01 nan nan
3.072410e+01 nan nan
3.108046e+01 nan nan
3.144096e+01 nan nan
3.180564e+01 nan nan
3.217455e+01 nan nan
3.254774e+01 nan nan
3.292526e+01 nan nan
3.330716e+01 nan nan
3.369348e+01 nan nan
3.408429e+01 nan nan
3.447963e+01 nan nan
3.487956e+01 nan nan
3.528412e+01 nan nan
3.569338e+01 nan nan
3.610738e+01 nan nan
3.652619e+01 nan nan
3.694985e+01 nan nan
3.737843e+01 nan nan
3.781198e+01 nan nan
3.825055e+01 nan nan
