# Energy(MeV) Sferica_4Pi_Fluence(cm^-2*MeV^-1)
3.126007e+02 1.853229e+05
3.169582e+02 1.795301e+05
3.213764e+02 1.735052e+05
3.258562e+02 1.678207e+05
3.303985e+02 1.622139e+05
3.350041e+02 1.565924e+05
3.396739e+02 1.511666e+05
3.444087e+02 1.462911e+05
3.492096e+02 1.416987e+05
3.540774e+02 1.368907e+05
3.590130e+02 1.323360e+05
3.640175e+02 1.277618e+05
3.690917e+02 1.232686e+05
3.742366e+02 1.192928e+05
3.794533e+02 1.155943e+05
3.847427e+02 1.119537e+05
3.901058e+02 1.082796e+05
3.955436e+02 1.047317e+05
4.010573e+02 1.014619e+05
4.066478e+02 9.829426e+04
4.123163e+02 9.508606e+04
4.180637e+02 9.197628e+04
4.238913e+02 8.896829e+04
4.298001e+02 8.593654e+04
4.357913e+02 8.311783e+04
4.418660e+02 8.043154e+04
4.480254e+02 7.783222e+04
4.542706e+02 7.511014e+04
4.606029e+02 7.256846e+04
4.670234e+02 7.015299e+04
4.735335e+02 6.795884e+04
4.801343e+02 6.584703e+04
4.868271e+02 6.380085e+04
4.936132e+02 6.172732e+04
5.004939e+02 5.968767e+04
5.074705e+02 5.782783e+04
5.145444e+02 5.608670e+04
5.217169e+02 5.429834e+04
5.289893e+02 5.250292e+04
5.363631e+02 5.068901e+04
5.438397e+02 4.893778e+04
5.514206e+02 4.729860e+04
5.591071e+02 4.576031e+04
5.669007e+02 4.427215e+04
5.748030e+02 4.283249e+04
5.828155e+02 4.143974e+04
5.909396e+02 4.007902e+04
5.991770e+02 3.869153e+04
6.075292e+02 3.734469e+04
6.159978e+02 3.606635e+04
6.245845e+02 3.484999e+04
6.332908e+02 3.363991e+04
6.421186e+02 3.247737e+04
6.510694e+02 3.135502e+04
6.601449e+02 3.027926e+04
6.693470e+02 2.927043e+04
6.786773e+02 2.834164e+04
6.881377e+02 2.739412e+04
6.977300e+02 2.650646e+04
7.074559e+02 2.564756e+04
7.173175e+02 2.481650e+04
7.273165e+02 2.401078e+04
7.374549e+02 2.320324e+04
7.477346e+02 2.242288e+04
7.581576e+02 2.166879e+04
7.687260e+02 2.098739e+04
7.794416e+02 2.032870e+04
7.903066e+02 1.969071e+04
8.013230e+02 1.905439e+04
8.124930e+02 1.840055e+04
8.238187e+02 1.776919e+04
8.353023e+02 1.719378e+04
8.469460e+02 1.663840e+04
8.587519e+02 1.610095e+04
8.707225e+02 1.557573e+04
8.828599e+02 1.505388e+04
8.951665e+02 1.453250e+04
9.076446e+02 1.406142e+04
9.202967e+02 1.363203e+04
9.331251e+02 1.320539e+04
9.461324e+02 1.277302e+04
9.593209e+02 1.234553e+04
9.726934e+02 1.192025e+04
9.862522e+02 1.152692e+04
1.000000e+03 1.113469e+04
