# Energy(MeV) Fluence_Sferica(4Pi)
2.645161e+02 5.183802e+04
2.678876e+02 4.951252e+04
2.713020e+02 4.729135e+04
2.747600e+02 4.516982e+04
2.782620e+02 4.314346e+04
2.818087e+02 4.120801e+04
2.854006e+02 3.935938e+04
2.890383e+02 3.759369e+04
2.927223e+02 3.590720e+04
2.964533e+02 3.429638e+04
3.002318e+02 3.275781e+04
3.040585e+02 3.128827e+04
3.079340e+02 2.988465e+04
3.118588e+02 2.854400e+04
3.158337e+02 2.726349e+04
3.198593e+02 2.604043e+04
3.239362e+02 2.487223e+04
3.280650e+02 2.375644e+04
3.322464e+02 2.269071e+04
3.364812e+02 2.167278e+04
3.407699e+02 2.070052e+04
3.451133e+02 1.977188e+04
3.495121e+02 1.888490e+04
3.539669e+02 1.803770e+04
3.584785e+02 1.722852e+04
3.630476e+02 1.645563e+04
3.676749e+02 1.571742e+04
3.723612e+02 1.501232e+04
3.771073e+02 1.433886e+04
3.819138e+02 1.369560e+04
3.867816e+02 1.308121e+04
3.917114e+02 1.249437e+04
3.967041e+02 1.193386e+04
4.017604e+02 1.139850e+04
4.068812e+02 1.088715e+04
4.120672e+02 1.039875e+04
4.173194e+02 9.932250e+03
4.226384e+02 9.486681e+03
4.280253e+02 9.061100e+03
4.334808e+02 8.654612e+03
4.390059e+02 8.266358e+03
4.446014e+02 7.895522e+03
4.502682e+02 7.541323e+03
4.560072e+02 7.203012e+03
4.618194e+02 6.879879e+03
4.677057e+02 6.571242e+03
4.736670e+02 6.276450e+03
4.797042e+02 5.994883e+03
4.858185e+02 5.725948e+03
4.920106e+02 5.469077e+03
4.982817e+02 5.223729e+03
5.046327e+02 4.989389e+03
5.110646e+02 4.765560e+03
5.175786e+02 4.551773e+03
5.241755e+02 4.347577e+03
5.308566e+02 4.152541e+03
5.376228e+02 3.966254e+03
5.444752e+02 3.788325e+03
5.514150e+02 3.618377e+03
5.584432e+02 3.456054e+03
5.655610e+02 3.301012e+03
5.727696e+02 3.152926e+03
5.800700e+02 3.011483e+03
5.874635e+02 2.876385e+03
5.949511e+02 2.747348e+03
