# Energy(MeV) Fluence_16th Fluence_84th
1.617486e+02 2.643191e+03 5.598543e+03
1.671958e+02 2.406350e+03 5.102685e+03
1.728264e+02 2.180839e+03 4.648854e+03
1.786466e+02 1.962834e+03 4.250208e+03
1.846628e+02 1.767206e+03 3.873862e+03
1.908817e+02 1.579863e+03 3.529334e+03
1.973099e+02 1.421271e+03 3.215204e+03
2.039547e+02 1.275797e+03 2.922214e+03
2.108232e+02 1.138338e+03 2.651561e+03
2.179230e+02 1.021074e+03 2.403712e+03
2.252619e+02 9.136362e+02 2.181469e+03
2.328480e+02 8.221912e+02 1.983594e+03
2.406895e+02 7.449696e+02 1.804282e+03
2.487952e+02 6.647465e+02 1.640650e+03
2.571738e+02 6.013386e+02 1.484735e+03
2.658345e+02 5.359867e+02 1.347822e+03
2.747869e+02 4.768953e+02 1.221576e+03
2.840408e+02 4.266276e+02 1.109518e+03
2.936064e+02 3.856736e+02 1.004767e+03
3.034941e+02 3.453660e+02 9.106055e+02
3.137148e+02 3.089875e+02 8.237841e+02
3.242796e+02 2.724259e+02 7.489372e+02
3.352003e+02 2.444105e+02 6.835547e+02
3.464887e+02 2.199125e+02 6.223367e+02
3.581573e+02 1.971869e+02 5.631400e+02
3.702189e+02 1.724226e+02 5.081296e+02
3.826866e+02 1.530554e+02 4.587557e+02
3.955742e+02 1.370826e+02 4.154652e+02
4.088958e+02 1.210445e+02 3.769607e+02
4.226661e+02 1.062770e+02 3.415380e+02
4.369001e+02 9.379939e+01 3.092003e+02
4.516134e+02 8.250560e+01 2.805097e+02
4.668222e+02 7.274518e+01 2.534848e+02
4.825433e+02 6.369188e+01 2.293332e+02
4.987937e+02 5.608448e+01 2.074014e+02
5.155914e+02 4.864833e+01 1.874909e+02
5.329548e+02 4.205931e+01 1.694208e+02
5.509030e+02 3.651605e+01 1.530260e+02
5.694556e+02 3.174823e+01 1.382078e+02
5.886329e+02 2.824140e+01 1.243870e+02
6.084561e+02 2.502741e+01 1.118482e+02
6.289469e+02 2.168174e+01 1.007098e+02
6.501277e+02 1.857133e+01 9.066819e+01
6.720219e+02 1.615914e+01 8.167604e+01
6.946533e+02 1.417265e+01 7.355071e+01
7.180470e+02 1.237423e+01 6.619470e+01
7.422284e+02 1.085814e+01 5.943710e+01
7.672242e+02 9.341406e+00 5.300974e+01
7.930617e+02 7.995629e+00 4.752131e+01
8.197694e+02 6.735406e+00 4.274890e+01
8.473765e+02 5.674784e+00 3.839486e+01
8.759133e+02 4.801405e+00 3.442241e+01
9.054112e+02 4.200248e+00 3.089713e+01
9.359024e+02 3.617495e+00 2.778306e+01
9.674205e+02 3.090150e+00 2.487510e+01
1.000000e+03 2.648866e+00 2.225288e+01
