# Energy(MeV) Fluence_Total
5.870487e+01 7.903238e+05
5.928972e+01 7.690388e+05
5.988041e+01 7.483263e+05
6.047698e+01 7.281709e+05
6.107949e+01 7.085576e+05
6.168801e+01 6.894718e+05
6.230259e+01 6.708993e+05
6.292329e+01 6.528264e+05
6.355018e+01 6.352396e+05
6.418331e+01 6.181259e+05
6.482275e+01 6.009790e+05
6.546856e+01 5.843045e+05
6.612080e+01 5.680920e+05
6.677954e+01 5.523288e+05
6.744485e+01 5.370024e+05
6.811678e+01 5.221008e+05
6.879541e+01 5.076121e+05
6.948080e+01 4.935250e+05
7.017301e+01 4.798283e+05
7.087213e+01 4.665112e+05
7.157820e+01 4.534377e+05
7.229132e+01 4.401064e+05
7.301153e+01 4.271669e+05
7.373893e+01 4.146079e+05
7.447356e+01 4.024180e+05
7.521552e+01 3.905866e+05
7.596487e+01 3.791029e+05
7.672169e+01 3.679568e+05
7.748604e+01 3.580163e+05
7.825801e+01 3.484286e+05
7.903767e+01 3.389067e+05
7.982510e+01 3.291210e+05
8.062038e+01 3.196174e+05
8.142357e+01 3.103454e+05
8.223477e+01 3.012584e+05
8.305405e+01 2.922654e+05
8.388150e+01 2.832773e+05
8.471718e+01 2.745657e+05
8.556119e+01 2.660285e+05
8.641361e+01 2.574263e+05
8.727453e+01 2.494554e+05
8.814402e+01 2.419134e+05
8.902217e+01 2.346005e+05
8.990907e+01 2.275229e+05
9.080481e+01 2.208370e+05
9.170947e+01 2.145837e+05
9.262314e+01 2.085075e+05
9.354592e+01 2.026032e+05
9.447789e+01 1.968660e+05
9.541915e+01 1.912913e+05
9.636978e+01 1.858743e+05
9.732988e+01 1.803789e+05
9.829955e+01 1.746547e+05
9.927888e+01 1.690661e+05
1.002680e+02 1.636570e+05
1.012669e+02 1.584217e+05
1.022758e+02 1.534913e+05
1.032947e+02 1.490715e+05
1.043238e+02 1.447788e+05
1.053632e+02 1.406095e+05
1.064129e+02 1.365770e+05
1.074730e+02 1.326756e+05
1.085438e+02 1.288855e+05
1.096252e+02 1.252036e+05
