# Energy(MeV) Phi16_Sferica Phi84_Sferica
1.393619e+01 1.393950e+07 1.459022e+07
1.403289e+01 1.379889e+07 1.443562e+07
1.413026e+01 1.365958e+07 1.428174e+07
1.422830e+01 1.352158e+07 1.412886e+07
1.432703e+01 1.338485e+07 1.397734e+07
1.442644e+01 1.324955e+07 1.382670e+07
1.452654e+01 1.311550e+07 1.367922e+07
1.462733e+01 1.298269e+07 1.353250e+07
1.472883e+01 1.284961e+07 1.338816e+07
1.483103e+01 1.271741e+07 1.324467e+07
1.493393e+01 1.258808e+07 1.310423e+07
1.503755e+01 1.246058e+07 1.296346e+07
1.514189e+01 1.233436e+07 1.282669e+07
1.524696e+01 1.220711e+07 1.268843e+07
1.535275e+01 1.208089e+07 1.255339e+07
1.545928e+01 1.195544e+07 1.241917e+07
1.556654e+01 1.183368e+07 1.228620e+07
1.567455e+01 1.171216e+07 1.215214e+07
1.578331e+01 1.158888e+07 1.202201e+07
1.589283e+01 1.146846e+07 1.189387e+07
1.600310e+01 1.135003e+07 1.176559e+07
1.611414e+01 1.123259e+07 1.163839e+07
1.622595e+01 1.111625e+07 1.151442e+07
1.633854e+01 1.100102e+07 1.139087e+07
1.645191e+01 1.088687e+07 1.126824e+07
1.656606e+01 1.077334e+07 1.114623e+07
1.668101e+01 1.065970e+07 1.102797e+07
1.679675e+01 1.054623e+07 1.091016e+07
1.691330e+01 1.043460e+07 1.079225e+07
1.703065e+01 1.032482e+07 1.067556e+07
1.714882e+01 1.021625e+07 1.056106e+07
1.726781e+01 1.010971e+07 1.044593e+07
1.738762e+01 1.000384e+07 1.033282e+07
1.750827e+01 9.900034e+06 1.021998e+07
1.762975e+01 9.797343e+06 1.010929e+07
1.775208e+01 9.693594e+06 1.000064e+07
1.787526e+01 9.592691e+06 9.892770e+06
1.799929e+01 9.491457e+06 9.785934e+06
1.812418e+01 9.390461e+06 9.681166e+06
1.824993e+01 9.290733e+06 9.576811e+06
1.837656e+01 9.190101e+06 9.473571e+06
1.850407e+01 9.092992e+06 9.371139e+06
1.863246e+01 8.995087e+06 9.269190e+06
1.876175e+01 8.900704e+06 9.169077e+06
1.889193e+01 8.805811e+06 9.070194e+06
1.902301e+01 8.712395e+06 8.970980e+06
1.915501e+01 8.617048e+06 8.873364e+06
1.928792e+01 8.522078e+06 8.776772e+06
1.942175e+01 8.430770e+06 8.681153e+06
1.955651e+01 8.339609e+06 8.586820e+06
1.969220e+01 8.250996e+06 8.493847e+06
