# Energy(MeV) Fluence_Planare_Median
1.422099e+02 6.665223e+03
1.440225e+02 6.440255e+03
1.458582e+02 6.220809e+03
1.477172e+02 6.007623e+03
1.496000e+02 5.800431e+03
1.515068e+02 5.599728e+03
1.534379e+02 5.408446e+03
1.553935e+02 5.222656e+03
1.573742e+02 5.044935e+03
1.593800e+02 4.875562e+03
1.614115e+02 4.709506e+03
1.634688e+02 4.548148e+03
1.655523e+02 4.393370e+03
1.676624e+02 4.242752e+03
1.697994e+02 4.097006e+03
1.719636e+02 3.958581e+03
1.741555e+02 3.823949e+03
1.763752e+02 3.693947e+03
1.786233e+02 3.569658e+03
1.809000e+02 3.448725e+03
1.832057e+02 3.331149e+03
1.855408e+02 3.216192e+03
1.879056e+02 3.106583e+03
1.903007e+02 3.001436e+03
1.927262e+02 2.900304e+03
1.951826e+02 2.802580e+03
1.976704e+02 2.708118e+03
2.001899e+02 2.616348e+03
2.027415e+02 2.527618e+03
2.053256e+02 2.441030e+03
2.079426e+02 2.357144e+03
2.105930e+02 2.276681e+03
2.132772e+02 2.199126e+03
2.159956e+02 2.124065e+03
2.187486e+02 2.050817e+03
2.215367e+02 1.980798e+03
2.243604e+02 1.913299e+03
2.272201e+02 1.848002e+03
2.301162e+02 1.784763e+03
2.330492e+02 1.724049e+03
2.360196e+02 1.664864e+03
2.390278e+02 1.607814e+03
2.420744e+02 1.553047e+03
2.451599e+02 1.499828e+03
2.482846e+02 1.448028e+03
2.514492e+02 1.397797e+03
2.546542e+02 1.349309e+03
2.578999e+02 1.302890e+03
2.611871e+02 1.258329e+03
2.645161e+02 1.215726e+03
2.678876e+02 1.174026e+03
2.713020e+02 1.134377e+03
2.747600e+02 1.096146e+03
2.782620e+02 1.058996e+03
2.818087e+02 1.022874e+03
2.854006e+02 9.880996e+02
2.890383e+02 9.547154e+02
2.927223e+02 9.223050e+02
2.964533e+02 8.910794e+02
3.002318e+02 8.608064e+02
3.040585e+02 8.315070e+02
3.079340e+02 8.032126e+02
3.118588e+02 7.760986e+02
3.158337e+02 7.495317e+02
3.198593e+02 7.237217e+02
3.239362e+02 6.988773e+02
3.280650e+02 6.749809e+02
3.322464e+02 6.519809e+02
3.364812e+02 6.297933e+02
3.407699e+02 6.083621e+02
3.451133e+02 5.877493e+02
3.495121e+02 5.675327e+02
3.539669e+02 5.481746e+02
3.584785e+02 5.294768e+02
3.630476e+02 5.114167e+02
3.676749e+02 4.941121e+02
3.723612e+02 4.774607e+02
3.771073e+02 4.613295e+02
3.819138e+02 4.458116e+02
3.867816e+02 4.307581e+02
3.917114e+02 4.163331e+02
3.967041e+02 4.020680e+02
4.017604e+02 3.882239e+02
4.068812e+02 3.749192e+02
4.120672e+02 3.622169e+02
4.173194e+02 3.499258e+02
4.226384e+02 3.380224e+02
4.280253e+02 3.264438e+02
4.334808e+02 3.152704e+02
4.390059e+02 3.045645e+02
4.446014e+02 2.942222e+02
4.502682e+02 2.843138e+02
4.560072e+02 2.746235e+02
4.618194e+02 2.651732e+02
4.677057e+02 2.560975e+02
4.736670e+02 2.473817e+02
4.797042e+02 2.389820e+02
4.858185e+02 2.308301e+02
4.920106e+02 2.229563e+02
4.982817e+02 2.153304e+02
5.046327e+02 2.079440e+02
5.110646e+02 2.008345e+02
5.175786e+02 1.939882e+02
5.241755e+02 1.873753e+02
5.308566e+02 1.809746e+02
5.376228e+02 1.747534e+02
5.444752e+02 1.687460e+02
5.514150e+02 1.629452e+02
5.584432e+02 1.573438e+02
5.655610e+02 1.519349e+02
5.727696e+02 1.467611e+02
5.800700e+02 1.417705e+02
5.874635e+02 1.369497e+02
5.949511e+02 1.322525e+02
6.025343e+02 1.276933e+02
6.102141e+02 1.233618e+02
6.179917e+02 1.191916e+02
6.258686e+02 1.151956e+02
6.338458e+02 1.113176e+02
6.419246e+02 1.075404e+02
6.501065e+02 1.038914e+02
6.583926e+02 1.003661e+02
6.667844e+02 9.693443e+01
6.752831e+02 9.361982e+01
6.838901e+02 9.042739e+01
6.926068e+02 8.736369e+01
7.014347e+02 8.440379e+01
7.103750e+02 8.154439e+01
7.194293e+02 7.880875e+01
7.285991e+02 7.613874e+01
7.378856e+02 7.356715e+01
7.472906e+02 7.110655e+01
7.568154e+02 6.870220e+01
7.664616e+02 6.630429e+01
7.762308e+02 6.399007e+01
7.861245e+02 6.176712e+01
7.961443e+02 5.964457e+01
8.062918e+02 5.762858e+01
8.165687e+02 5.566680e+01
8.269765e+02 5.378162e+01
8.375170e+02 5.194657e+01
8.481918e+02 5.017827e+01
8.590027e+02 4.848187e+01
8.699514e+02 4.684281e+01
8.810396e+02 4.525917e+01
8.922692e+02 4.371984e+01
9.036419e+02 4.223251e+01
9.151595e+02 4.079579e+01
9.268240e+02 3.939946e+01
9.386371e+02 3.804909e+01
9.506008e+02 3.674381e+01
9.627170e+02 3.548186e+01
9.749876e+02 3.426326e+01
9.874146e+02 3.308650e+01
1.000000e+03 3.196291e+01
