Energy(MeV) Phi_16 Phi_84
2.044643e+01 3.163483e+08 4.224574e+08
2.085628e+01 3.028734e+08 4.048347e+08
2.127434e+01 2.902725e+08 3.878933e+08
2.170078e+01 2.779203e+08 3.718978e+08
2.213577e+01 2.661550e+08 3.559106e+08
2.257948e+01 2.545474e+08 3.404027e+08
2.303209e+01 2.435643e+08 3.259046e+08
2.349376e+01 2.317382e+08 3.116361e+08
2.396469e+01 2.220311e+08 2.977656e+08
2.444506e+01 2.118580e+08 2.840648e+08
2.493506e+01 2.019088e+08 2.715130e+08
2.543488e+01 1.922849e+08 2.588742e+08
2.594472e+01 1.829369e+08 2.470525e+08
2.646478e+01 1.742844e+08 2.354302e+08
2.699527e+01 1.658342e+08 2.242781e+08
2.753639e+01 1.579774e+08 2.136183e+08
2.808835e+01 1.498205e+08 2.034905e+08
2.865138e+01 1.423840e+08 1.936612e+08
2.922570e+01 1.352249e+08 1.844121e+08
2.981152e+01 1.277237e+08 1.750889e+08
3.040909e+01 1.213848e+08 1.663133e+08
3.101864e+01 1.147401e+08 1.579920e+08
3.164041e+01 1.087219e+08 1.498615e+08
3.227464e+01 1.030895e+08 1.419718e+08
3.292158e+01 9.741675e+07 1.343709e+08
3.358149e+01 9.209696e+07 1.270229e+08
3.425463e+01 8.689784e+07 1.202201e+08
3.494126e+01 8.208683e+07 1.137697e+08
3.564165e+01 7.731799e+07 1.077185e+08
3.635609e+01 7.276000e+07 1.017531e+08
3.708484e+01 6.827028e+07 9.607902e+07
3.782820e+01 6.396813e+07 9.083746e+07
3.858647e+01 6.026344e+07 8.573879e+07
3.935993e+01 5.661940e+07 8.091274e+07
4.014890e+01 5.292627e+07 7.609016e+07
4.095368e+01 4.963123e+07 7.167308e+07
4.177459e+01 4.644521e+07 6.769568e+07
4.261196e+01 4.354704e+07 6.374700e+07
4.346611e+01 4.071229e+07 5.993205e+07
4.433739e+01 3.801029e+07 5.631828e+07
4.522613e+01 3.546801e+07 5.288727e+07
4.613268e+01 3.330780e+07 4.967242e+07
4.705741e+01 3.110152e+07 4.662257e+07
4.800067e+01 2.895285e+07 4.389567e+07
4.896284e+01 2.700461e+07 4.109161e+07
4.994430e+01 2.521093e+07 3.845888e+07
5.094543e+01 2.344009e+07 3.608523e+07
5.196662e+01 2.182963e+07 3.375953e+07
5.300829e+01 2.046145e+07 3.159817e+07
5.407084e+01 1.901686e+07 2.964813e+07
5.515468e+01 1.781202e+07 2.770443e+07
5.626026e+01 1.662207e+07 2.585772e+07
5.738799e+01 1.543923e+07 2.416554e+07
5.853833e+01 1.435895e+07 2.264488e+07
5.971172e+01 1.334512e+07 2.118038e+07
6.090864e+01 1.237587e+07 1.968812e+07
6.212955e+01 1.146188e+07 1.832966e+07
6.337493e+01 1.062816e+07 1.709674e+07
6.464528e+01 9.857695e+06 1.592808e+07
6.594109e+01 9.155355e+06 1.483672e+07
6.726287e+01 8.458953e+06 1.376603e+07
6.861115e+01 7.858097e+06 1.280531e+07
6.998645e+01 7.288620e+06 1.195210e+07
7.138933e+01 6.739741e+06 1.114217e+07
7.282032e+01 6.265573e+06 1.041150e+07
7.428000e+01 5.785774e+06 9.717480e+06
7.576894e+01 5.352779e+06 9.059652e+06
7.728772e+01 4.957935e+06 8.497308e+06
7.883694e+01 4.591327e+06 7.903467e+06
8.041722e+01 4.228598e+06 7.346247e+06
8.202918e+01 3.897448e+06 6.839117e+06
8.367345e+01 3.619256e+06 6.389399e+06
8.535068e+01 3.336896e+06 5.953161e+06
8.706153e+01 3.080832e+06 5.566118e+06
8.880667e+01 2.839811e+06 5.216098e+06
9.058679e+01 2.616704e+06 4.880600e+06
9.240260e+01 2.416716e+06 4.565686e+06
9.425480e+01 2.216336e+06 4.264722e+06
9.614413e+01 2.050801e+06 4.005124e+06
9.807133e+01 1.894515e+06 3.748244e+06
1.000372e+02 1.745614e+06 3.510548e+06
1.020424e+02 1.610919e+06 3.276474e+06
1.040878e+02 1.490059e+06 3.079559e+06
1.061743e+02 1.376597e+06 2.893904e+06
1.083025e+02 1.269271e+06 2.715914e+06
1.104734e+02 1.172908e+06 2.551999e+06
1.126879e+02 1.080008e+06 2.381800e+06
1.149467e+02 9.925493e+05 2.234403e+06
1.172508e+02 9.181287e+05 2.097094e+06
1.196011e+02 8.447125e+05 1.966658e+06
1.219985e+02 7.786236e+05 1.843141e+06
1.244439e+02 7.173035e+05 1.733168e+06
1.269384e+02 6.609009e+05 1.629386e+06
1.294828e+02 6.076204e+05 1.521912e+06
1.320783e+02 5.596321e+05 1.424534e+06
1.347258e+02 5.151581e+05 1.333101e+06
1.374264e+02 4.741447e+05 1.247761e+06
1.401811e+02 4.385287e+05 1.170615e+06
1.429910e+02 4.058268e+05 1.098016e+06
1.458573e+02 3.731080e+05 1.029872e+06
1.487810e+02 3.417854e+05 9.652040e+05
1.517633e+02 3.168436e+05 9.024084e+05
1.548053e+02 2.936812e+05 8.453527e+05
1.579084e+02 2.695629e+05 7.934928e+05
1.610737e+02 2.482995e+05 7.445690e+05
1.643024e+02 2.291092e+05 6.966901e+05
1.675958e+02 2.104148e+05 6.534875e+05
1.709552e+02 1.941958e+05 6.156228e+05
1.743820e+02 1.790794e+05 5.780151e+05
1.778775e+02 1.656827e+05 5.422981e+05
1.814430e+02 1.528763e+05 5.084454e+05
1.850801e+02 1.407224e+05 4.768186e+05
1.887900e+02 1.293539e+05 4.468888e+05
1.925743e+02 1.189814e+05 4.192719e+05
1.964344e+02 1.097571e+05 3.938760e+05
2.003719e+02 1.014407e+05 3.700612e+05
2.043883e+02 9.316860e+04 3.478861e+05
2.084853e+02 8.543573e+04 3.269520e+05
2.126644e+02 7.879131e+04 3.069126e+05
2.169272e+02 7.245817e+04 2.882197e+05
2.212755e+02 6.680611e+04 2.704452e+05
2.257109e+02 6.156039e+04 2.533182e+05
2.302353e+02 5.616328e+04 2.372003e+05
2.348503e+02 5.186422e+04 2.234097e+05
2.395579e+02 4.792534e+04 2.097108e+05
2.443598e+02 4.431215e+04 1.967515e+05
2.492580e+02 4.079838e+04 1.845934e+05
2.542544e+02 3.734452e+04 1.731868e+05
2.593509e+02 3.424645e+04 1.624326e+05
2.645495e+02 3.141946e+04 1.523168e+05
2.698524e+02 2.880380e+04 1.429236e+05
2.752616e+02 2.645213e+04 1.342352e+05
2.807792e+02 2.443276e+04 1.259896e+05
2.864074e+02 2.251763e+04 1.182072e+05
2.921484e+02 2.069248e+04 1.108139e+05
2.980045e+02 1.899457e+04 1.038606e+05
3.039780e+02 1.747140e+04 9.734376e+04
3.100712e+02 1.603826e+04 9.133516e+04
3.162865e+02 1.472265e+04 8.576275e+04
3.226265e+02 1.354562e+04 8.053052e+04
3.290935e+02 1.249323e+04 7.566570e+04
3.356901e+02 1.150432e+04 7.105179e+04
3.424190e+02 1.060943e+04 6.666277e+04
3.492828e+02 9.769469e+03 6.256133e+04
3.562841e+02 9.019515e+03 5.871237e+04
3.634258e+02 8.318744e+03 5.510035e+04
3.707107e+02 7.675416e+03 5.171067e+04
3.781415e+02 7.054873e+03 4.858340e+04
3.857213e+02 6.481833e+03 4.562887e+04
3.934531e+02 5.942815e+03 4.278785e+04
4.013398e+02 5.459263e+03 4.011973e+04
4.093847e+02 5.037528e+03 3.764668e+04
4.175907e+02 4.651709e+03 3.532439e+04
4.259613e+02 4.285979e+03 3.314407e+04
4.344997e+02 3.939612e+03 3.110777e+04
4.432092e+02 3.621230e+03 2.918027e+04
4.520933e+02 3.328573e+03 2.736741e+04
4.611555e+02 3.059562e+03 2.574868e+04
4.703993e+02 2.816609e+03 2.418961e+04
4.798284e+02 2.594573e+03 2.270770e+04
4.894465e+02 2.383924e+03 2.131666e+04
4.992574e+02 2.195071e+03 1.998728e+04
5.092650e+02 2.022244e+03 1.874064e+04
5.194732e+02 1.855008e+03 1.762878e+04
5.298860e+02 1.710222e+03 1.657706e+04
5.405075e+02 1.578560e+03 1.556913e+04
5.513420e+02 1.456045e+03 1.461786e+04
5.623936e+02 1.338963e+03 1.372477e+04
5.736667e+02 1.231369e+03 1.288629e+04
5.851658e+02 1.132992e+03 1.210160e+04
5.968954e+02 1.042717e+03 1.137819e+04
6.088601e+02 9.557885e+02 1.070971e+04
6.210647e+02 8.788127e+02 1.005985e+04
6.335139e+02 8.078290e+02 9.443857e+03
6.462126e+02 7.433477e+02 8.865597e+03
6.591659e+02 6.833983e+02 8.322302e+03
6.723788e+02 6.278818e+02 7.810195e+03
6.858566e+02 5.792160e+02 7.332797e+03
6.996046e+02 5.343197e+02 6.886248e+03
7.136281e+02 4.923440e+02 6.466924e+03
7.279327e+02 4.522609e+02 6.074361e+03
7.425240e+02 4.148269e+02 5.711645e+03
7.574079e+02 3.803634e+02 5.370620e+03
7.725901e+02 3.501379e+02 5.059487e+03
7.880766e+02 3.223213e+02 4.786593e+03
8.038735e+02 2.967228e+02 4.495454e+03
8.199871e+02 2.731843e+02 4.222049e+03
8.364237e+02 2.516368e+02 3.965298e+03
8.531897e+02 2.315567e+02 3.724186e+03
8.702918e+02 2.131836e+02 3.497758e+03
8.877368e+02 1.959716e+02 3.287307e+03
9.055314e+02 1.803780e+02 3.090726e+03
9.236827e+02 1.657244e+02 2.906746e+03
9.421978e+02 1.522605e+02 2.732976e+03
9.610841e+02 1.398944e+02 2.569615e+03
9.803490e+02 1.285327e+02 2.414774e+03
1.000000e+03 1.179124e+02 2.267647e+03
